SEQUENCEID	NumColumns	Rank	AssignedTax
PC1295530	14	sp	1346
PC1548683	2	sp	1346
PC530469	2	sp	1346
PC14438	1	sp	1346
PC1425264	6	sp	1346
PC117143	20	sp	1346
PC387464	28	sp	1346
PC708399	9	sp	1346
PC1386280	35	sp	1346
PC231914	7	sp	1346
PC869128	4	sp	1346
PC256570	2	sp	1311
PC1554404	37	sp	1346
PC1268022	2	sp	1346
PC438385	3	sp	1346
PC1538151	24	sp	1346
PC13057	30	sp	1346
PC1152370	6	sp	1346
PC1187	2	sp	1346
PC160707	25	sp	1346
PC1275625	3	sp	1346
PC1356394	30	sp	1346
PC273865	1	sp	1346
PC904057	10	sp	1346
PC564944	1	sp	1346
PC524417	21	sp	1346
PC407931	162	sp	1311
PC99302	17	sp	1346
PC1512354	1	sp	1346
PC1081445	1	sp	1346
PC951642	2	sp	1346
PC1052056	2	sp	1346
PC352674	2	sp	1346
PC1582341	44	sp	1311
PC743399	10	sp	1346
PC182662	2	sp	1311
PC307210	4	sp	1346
PC1337949	109	sp	1311
PC772792	23	sp	1346
PC656856	26	sp	1346
PC356122	1	sp	1346
PC1287592	36	sp	1346
PC831432	4	sp	1346
PC77257	3	sp	1346
PC1191889	244	sp	1311
PC137190	2	sp	1346
PC245896	32	sp	1346
PC1050232	30	sp	1346
PC1433704	20	sp	1346
PC207328	36	sp	1346
PC1413210	37	sp	1346
PC1204829	1	sp	1346
PC537667	2	sp	1346
PC1362713	20	sp	1346
PC596709	6	sp	1346
PC982233	2	sp	1346
PC67924	37	sp	1346
PC1564390	17	sp	1346
PC552346	37	sp	1346
PC194996	2	sp	1346
PC109542	28	sp	1346
PC1407337	31	sp	1346
PC828820	2	sp	1346
PC120226	3	sp	1346
PC1261417	9	sp	1346
PC982217	9	sp	1346
PC1271494	9	sp	1346
PC959208	28	sp	1346
PC1123972	2	sp	1346
PC1191392	2	sp	1346
PC511014	6	sp	1346
PC1570553	30	sp	1358
PC22268	13	sp	1346
PC1014087	193	sp	1311
PC217234	24	sp	1346
PC745857	11	sp	1346
PC1537928	37	sp	1346
PC1063474	2	sp	1346
PC1459177	30	sp	1346
PC565020	37	sp	1346
PC509393	1	sp	1346
PC622472	2	sp	1346
PC1067392	29	sp	1346
PC1353609	346	sp	1351
PC975810	3	sp	1346
PC723619	1	sp	1346
PC587628	3	sp	1346
PC345751	28	sp	1346
PC303942	4	sp	1346
PC541261	2	sp	1346
PC632232	29	sp	1346
PC1015031	8	sp	1346
PC793202	29	sp	1346
PC1173373	8	sp	1346
PC1570180	2	sp	1346
PC1113022	102	sp	1311
PC1403365	6	sp	1346
PC841368	37	sp	1346
PC641900	1	sp	1346
PC335714	31	sp	1346
PC1064979	1	sp	1346
PC1575728	19	sp	1346
PC766030	33	sp	1346
PC261759	11	sp	1346
PC1542937	2	sp	1346
PC1020873	59	sp	1311
PC1405504	5	sp	1311
PC1252612	2	sp	1346
PC703502	20	sp	1346
PC695079	36	sp	1346
PC1096597	4	sp	1346
PC205528	2	sp	1346
PC938253	33	sp	1346
PC1194048	12	sp	1346
PC628844	20	sp	1346
PC888281	18	sp	1346
PC33733	28	sp	1346
PC1201027	29	sp	1346
PC354360	2	sp	1346
PC938895	37	sp	1346
PC327484	4	sp	1346
PC1387416	5	sp	1346
PC360915	2	sp	1346
PC647035	20	sp	1346
PC843136	31	sp	1346
PC784060	2	sp	1346
PC377763	2	sp	1346
PC1389192	1	sp	1311
PC235790	34	sp	1346
PC590841	28	sp	1346
PC975443	36	sp	1346
PC1335744	1	sp	1346
PC207654	2	sp	1346
PC654858	1	sp	1346
PC835555	28	sp	1346
PC985674	24	sp	1346
PC1063163	4	sp	1346
PC54889	2	sp	1346
PC1526473	4	sp	1346
PC174412	2	sp	1346
PC503925	20	sp	1346
PC59297	11	sp	1346
PC825016	1	sp	1346
PC210869	36	sp	1346
PC276982	20	sp	1346
PC915271	32	sp	1346
PC1200392	4	sp	1346
PC678937	8	sp	1346
PC560569	20	sp	1346
PC694491	3	sp	1346
PC939523	2	sp	1346
PC425165	2	sp	1346
PC819246	2	sp	1346
PC295279	27	sp	1346
PC1252374	2	sp	2748
PC1418058	3	sp	2748
PC681411	4	gen	46255
PC1507096	7	sp	1246
PC237498	2	sp	2748
PC903587	4	sp	2748
PC458008	7	sp	1246
PC960679	4	gen	46255
PC1020478	4	gen	46255
PC603616	3	sp	2748
PC11051	3	sp	2748
PC299382	4	sp	2748
PC170257	5	sp	1624
PC643831	2	sp	2748
PC1343326	2	sp	2748
PC796709	2	gen	1578
PC1289481	3	sp	2748
PC1196875	2	sp	2748
PC815812	2	sp	2748
PC1057622	1	sp	140314
PC321663	4	gen	46255
PC768497	7	sp	1246
PC1459613	2	sp	2748
PC767057	3	sp	1246
PC1278120	3	sp	2748
PC1385670	3	sp	2748
PC1532406	2	sp	759620
PC1354311	2	gen	1243
PC898439	4	sp	2748
PC19549	4	gen	46255
PC820202	1	sp	140314
PC1032197	4	gen	46255
PC1498576	4	gen	46255
PC1397916	6	sp	1246
PC1283688	5	sp	1246
PC638144	2	sp	2748
PC251998	3	sp	2748
PC761394	2	gen	1243
PC958368	3	gen	46255
PC362560	14	gen	82802
PC1524057	2	sp	2748
PC722019	1	sp	1494960
PC1280066	4	gen	46255
PC1385320	3	sp	2748
PC662102	3	sp	2748
PC1321753	4	gen	46255
PC379893	1	sp	2748
PC93193	2	sp	2748
PC989360	3	sp	2748
PC128770	3	sp	2748
PC1347264	4	gen	46255
PC1509430	3	sp	2748
PC1028776	4	gen	46255
PC1005925	5	sp	2748
PC723080	2	sp	2748
PC680962	3	sp	2748
PC280485	2	sp	2748
PC1147723	2	sp	2748
PC1064454	4	gen	46255
PC335901	2	sp	2748
PC333525	3	gen	1243
PC1507514	7	sp	1246
PC998630	3	sp	2748
PC403440	4	gen	46255
PC841544	5	sp	2748
PC1335077	3	sp	2748
PC478268	3	sp	2748
PC427168	3	sp	2748
PC1060884	2	sp	2748
PC473764	2	gen	1243
PC1454767	5	sp	2748
PC1544613	2	sp	1246
PC708124	2	sp	2748
PC559670	1	sp	2748
PC822014	2	gen	1243
PC1203370	2	sp	2748
PC1007180	5	sp	2748
PC1230357	3	sp	2748
PC331548	6	sp	1246
PC174080	2	gen	46255
PC748117	3	gen	46255
PC809064	2	sp	2748
PC18236	2	sp	2748
PC7638	5	sp	2748
PC1080171	5	sp	2748
PC473956	3	sp	2748
PC1321734	3	sp	2748
PC657222	5	sp	2748
PC729826	1	sp	1203033
PC1512751	2	sp	2748
PC992583	2	sp	2748
PC246909	4	gen	46255
PC1387253	4	gen	46255
PC1509296	5	sp	2748
PC1422160	3	gen	1243
PC923784	5	sp	1246
PC945665	2	sp	2748
PC1526482	1	sp	191770
PC354953	2	sp	2748
PC1471520	4	gen	46255
PC1568013	3	sp	2748
PC1144904	3	sp	2748
PC122685	1	sp	1903686
PC439682	4	gen	46255
PC1552606	1	sp	1903686
PC1232010	4	sp	2748
PC1118910	3	sp	2748
PC189844	1	sp	191770
PC598432	3	sp	2748
PC1181235	3	sp	2748
PC1300261	3	sp	2748
PC945684	3	sp	2748
PC1366681	2	sp	2748
PC229942	3	sp	2748
PC311746	2	sp	2748
PC669356	2	sp	2748
PC701513	4	gen	1243
PC309223	4	sp	2748
PC1309907	3	sp	2748
PC789756	2	gen	1243
PC1478995	1	sp	2748
PC883524	2	sp	2748
PC1290485	5	sp	2748
PC585802	2	gen	46255
PC49182	1	sp	269774
PC1543329	2	sp	2748
PC74451	3	gen	1243
PC830075	3	sp	2748
PC175975	2	sp	759620
PC129739	2	sp	2748
PC211776	2	sp	2748
PC759471	3	sp	2748
PC617474	2	gen	46255
PC1267917	2	sp	2748
PC617993	2	sp	759620
PC240980	3	sp	2748
PC424811	2	sp	2748
PC831126	2	sp	1246
PC884281	2	sp	1643
PC1508983	1	sp	1252
PC1433258	3	sp	2748
PC160833	2	sp	2748
PC1316985	3	sp	2748
PC890268	4	sp	2748
PC665891	2	gen	1578
PC1172936	2	sp	2748
PC979432	3	sp	2748
PC843911	4	gen	1243
PC1551101	3	sp	2748
PC348515	3	sp	2748
PC915065	4	sp	2748
PC1302990	2	gen	1243
PC889162	4	sp	2748
PC1307102	2	sp	759620
PC1287539	3	sp	2748
PC146808	4	gen	46255
PC150165	2	sp	2748
PC802116	4	gen	2747
PC1009713	2	sp	2748
PC238885	1	sp	1903686
PC467101	4	gen	1243
PC1354199	2	sp	759620
PC1177790	4	sp	2748
PC1168188	1	sp	2748
PC1179335	2	sp	2748
PC893695	3	sp	2748
PC985244	2	gen	1243
PC225453	2	fam	186828
PC590905	3	sp	2748
PC1332261	4	gen	46255
PC1283321	4	gen	1243
PC1516299	1	sp	2749
PC1208099	3	sp	192421
PC763497	157	gen	1386
PC502520	2	sp	192421
PC328728	157	gen	1386
PC12137	2	sp	1454
PC1447562	2	gen	129337
PC874448	16	gen	129337
PC1081617	9	gen	129337
PC1294319	154	gen	1386
PC251564	3	sp	192421
PC1430009	125	gen	1386
PC1312614	3	sp	192421
PC254904	157	gen	1386
PC621040	2	gen	1386
PC693925	2	gen	129337
PC724456	3	gen	1386
PC773090	155	gen	1386
PC1425698	2	gen	1372
PC1105651	2	gen	129337
PC604650	2	sp	161360
PC209109	110	gen	1386
PC229062	7	gen	1386
PC1079250	147	gen	1386
PC707494	157	gen	1386
PC816196	1	sp	235932
PC77062	156	gen	1386
PC1290995	68	gen	1386
PC80216	7	gen	129337
PC899448	1	sp	1422
PC865796	151	gen	1386
PC445654	2	sp	192421
PC780481	2	sp	161360
PC931459	3	sp	192421
PC184490	1	sp	470864
PC374620	3	sp	192421
PC1224368	2	sp	561879
PC1539580	2	gen	1372
PC314530	2	gen	1386
PC284160	156	gen	1386
PC1119911	131	gen	1386
PC967546	3	gen	1372
PC931411	3	sp	192421
PC1414478	1	sp	1407
PC1367792	2	sp	161360
PC629468	2	gen	129337
PC1578428	2	sp	161360
PC922921	2	gen	1386
PC1550707	157	gen	1386
PC119951	1	sp	1373
PC1410927	1	sp	200991
PC809053	1	sp	462910
PC1575984	4	gen	129337
PC788458	2	sp	161360
PC1408652	1	sp	492670
PC199311	2	sp	161360
PC1234751	2	sp	161360
PC972186	3	sp	492670
PC1051755	2	sp	161360
PC300480	1	sp	2011017
PC1531798	2	sp	161360
PC296103	3	sp	192421
PC695890	1	sp	1305675
PC1043455	12	sp	1422
PC712545	2	sp	161360
PC1242052	156	gen	1386
PC1049046	4	gen	129337
PC87501	155	gen	1386
PC874377	3	gen	1372
PC950154	2	sp	161360
PC485969	1	sp	1965358
PC696477	2	gen	1372
PC1037866	3	gen	1372
PC1198900	156	gen	1386
PC1184939	3	gen	1372
PC1353588	2	sp	161360
PC984278	1	sp	1176648
PC1429133	2	gen	1372
PC278506	7	gen	129337
PC497664	3	gen	129337
PC1511589	1	sp	1954237
PC275198	3	gen	1372
PC613669	13	gen	1386
PC1508112	3	sp	192421
PC1506273	2	gen	129337
PC165646	157	gen	1386
PC628068	163	gen	1386
PC682087	1	sp	1373
PC374261	2	gen	1386
PC735839	1	sp	1305675
PC951318	2	sp	161360
PC1189300	152	gen	1386
PC1176280	1	sp	33941
PC545028	2	sp	161360
PC901610	2	sp	161360
PC130059	135	gen	1386
PC573289	2	gen	1372
PC646573	2	gen	84406
PC405095	4	gen	129337
PC1342995	1	sp	691437
PC391575	136	gen	1386
PC688290	2	gen	1372
PC509319	5	gen	129337
PC724242	2	sp	492670
PC1165156	9	gen	129337
PC202172	65	gen	1386
PC968111	2	sp	161360
PC1139432	155	gen	1386
PC207932	4	gen	182709
PC1329254	1	sp	1305675
PC1433016	12	gen	129337
PC202843	1	sp	1373
PC891504	2	gen	129337
PC711484	2	gen	1372
PC924992	5	gen	129337
PC43192	1	sp	213419
PC837766	83	gen	1386
PC973977	1	sp	2338393
PC1443483	157	gen	1386
PC1003230	156	gen	1386
PC590793	154	gen	1386
PC620869	9	gen	129337
PC50773	2	sp	192421
PC1004651	4	gen	1386
PC1316103	18	sp	561879
PC273020	2	sp	33938
PC1126051	2	sp	161360
PC411763	17	gen	129337
PC1583612	2	sp	492670
PC897053	155	gen	1386
PC93209	2	sp	659243
PC720015	2	sp	192421
PC618801	149	gen	1386
PC861608	2	sp	161360
PC1387792	13	gen	129337
PC210852	1	sp	1373
PC810338	3	sp	192421
PC626584	4	gen	129337
PC154319	3	gen	182709
PC438573	2	gen	1372
PC1091360	159	gen	1386
PC881351	2	fam	186817
PC451048	1	sp	492670
PC1329980	7	gen	129337
PC1365628	3	gen	1372
PC929245	13	gen	1386
PC305542	3	sp	192421
PC105264	2	sp	192421
PC322125	2	gen	1372
PC1277121	2	sp	192421
PC50052	157	gen	1386
PC443628	3	gen	1372
PC553891	3	sp	192421
PC417029	150	gen	1386
PC18278	1	sp	860353
PC218110	2	gen	129337
PC184642	157	gen	1386
PC216325	2	sp	161360
PC1105102	1	sp	213419
PC1533069	3	gen	1372
PC1317247	12	gen	129337
PC974266	2	gen	129337
PC1269249	1	sp	200991
PC1174593	2	gen	129337
PC1432117	1	sp	2058329
PC441311	2	sp	161360
PC1525576	1	sp	1965358
PC685675	157	gen	1386
PC695613	1	sp	2116541
PC198675	2	sp	161360
PC1356161	2	sp	161360
PC1573194	157	gen	1386
PC1063566	10	gen	1386
PC1101129	152	gen	1386
PC1274341	11	gen	129337
PC480444	2	sp	161360
PC1563270	3	sp	192421
PC668299	15	gen	129337
PC746020	2	gen	129337
PC1212735	155	gen	1386
PC1106835	1	sp	516704
PC790082	154	gen	1386
PC535111	154	gen	1386
PC1567340	1	sp	1679170
PC1461875	3	gen	1372
PC736907	2	sp	161360
PC679661	157	gen	1386
PC110656	1	sp	1078085
PC1222860	2	sp	161360
PC1010504	9	gen	129337
PC1353160	2	sp	161360
PC430636	5	gen	1372
PC1311552	3	gen	1372
PC813492	2	sp	161360
PC1300355	4	gen	129337
PC1292612	7	gen	1386
PC913137	152	gen	1386
PC1242841	157	gen	1386
PC1401874	18	gen	129337
PC871537	151	gen	1386
PC1516594	1	sp	1373
PC1326798	15	gen	1386
PC1422086	146	gen	1386
PC592256	2	sp	161360
PC675740	2	sp	161360
PC487685	1	sp	1408
PC1470689	15	gen	129337
PC13677	2	gen	1372
PC960632	154	gen	1386
PC401880	1	sp	1208599
PC1295197	21	sp	1452
PC989217	2	gen	1386
PC487402	2	gen	1386
PC521859	2	sp	561879
PC1171499	155	gen	1386
PC318636	3	sp	189381
PC779014	157	gen	1386
PC1065972	155	gen	1386
PC226853	157	gen	1386
PC1087983	2	sp	161360
PC1515867	2	sp	161360
PC102954	2	sp	161360
PC1082315	2	sp	161360
PC766876	157	gen	1386
PC1274132	2	sp	561879
PC529948	4	gen	1386
PC886866	152	gen	1386
PC1543504	2	sp	161360
PC1031727	2	gen	129337
PC718010	4	gen	1386
PC1069697	155	gen	1386
PC996407	2	sp	161360
PC238805	1	sp	1373
PC861979	152	gen	1386
PC9755	4	gen	129337
PC656891	2	sp	161360
PC632337	5	gen	129337
PC863324	1	sp	1305675
PC1423094	2	gen	129337
PC1148329	2	sp	192421
PC555559	136	gen	1386
PC578397	2	sp	161360
PC1392280	1	sp	1373
PC97113	3	sp	192421
PC211165	3	gen	1386
PC1077808	1	sp	2058329
PC3001	2	gen	129337
PC603634	17	gen	129337
PC1095550	156	gen	1386
PC459150	3	sp	192421
PC931461	4	gen	1372
PC588907	2	sp	161360
PC1468325	2	sp	161360
PC260042	3	sp	192421
PC1158244	14	gen	129337
PC1437660	135	gen	1386
PC1230746	2	gen	129337
PC1166971	1	sp	2338393
PC830702	14	gen	129337
PC856479	2	sp	161360
PC1238210	1	sp	2338393
PC1106918	2	gen	129337
PC684100	1	sp	516704
PC822211	1	sp	1373
PC1180025	2	gen	129337
PC701123	5	sp	561879
PC853502	154	gen	1386
PC517891	1	sp	2338393
PC197051	3	gen	1372
PC542600	1	sp	2338393
PC300638	3	sp	492670
PC1499656	2	sp	161360
PC1480541	3	gen	1372
PC678492	2	sp	161360
PC631315	1	sp	1848460
PC400741	2	sp	161360
PC159055	1	sp	1373
PC248715	3	gen	1372
PC1217207	1	sp	135517
PC238324	157	gen	1386
PC869869	153	gen	1386
PC1099753	5	gen	129337
PC898869	1	sp	1373
PC1102990	2	gen	129337
PC227687	1	sp	2058136
PC1002152	11	gen	129337
PC778104	1	sp	2135694
PC1445825	157	gen	1386
PC1276337	2	sp	161360
PC869980	155	gen	1386
PC1498143	3	sp	192421
PC543174	2	sp	161360
PC29977	2	sp	192421
PC92629	2	sp	64104
PC1200897	1	sp	200991
PC966813	1	sp	492670
PC6522	2	gen	1386
PC11562	2	sp	161360
PC93119	2	gen	129337
PC371998	2	sp	161360
PC1297095	4	gen	129337
PC1381282	2	sp	492670
PC185562	21	gen	129337
PC1421934	2	sp	161360
PC1561481	2	sp	161360
PC590936	3	sp	192421
PC246768	1	sp	2169540
PC1206037	157	gen	1386
PC1208428	2	gen	1386
PC1059805	3	gen	129337
PC904268	3	fam	186817
PC219743	151	gen	1386
PC926121	2	sp	1462
PC1056553	1	sp	2338393
PC293956	155	gen	1386
PC886392	4	gen	129337
PC847523	4	gen	129337
PC1053556	12	gen	129337
PC583507	3	sp	192421
PC338098	1	sp	33941
PC312795	2	sp	161360
PC1357791	3	gen	1386
PC496683	3	sp	192421
PC895783	10	gen	129337
PC1071092	155	gen	1386
PC1014761	9	gen	129337
PC489296	4	gen	129337
PC1453496	2	sp	161360
PC407425	2	gen	1372
PC1175182	3	gen	129337
PC636242	3	gen	1372
PC612246	1	sp	2011017
PC1110926	1	sp	414778
