sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
marmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	0.9985918207991944	0.998326542562045	1208627424	1206925460	1208948584	0.9968440984641279	0.9931872969290431	19012	18952	19082	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2157	Archaea	superkingdom	1.0	0.9782655820312093	62647357	62647357	64039212	1.0	0.9515695067264573	1061	1061	1115	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	10239	Viruses	superkingdom		0.0	0	0	449662		0.0	0	0	15	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	2759	Eukaryota	superkingdom	0.0		165078	0	0	0.0		10	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1297	Deinococcus-Thermus	phylum	1.0	1.0	2269117	2269117	2269117	1.0	1.0	1	1	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1090	Chlorobi	phylum	1.0	1.0	6029797	6029797	6029797	1.0	1.0	2	2	2	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	544448	Tenericutes	phylum	1.0	1.0	1878554	1878554	1878554	1.0	1.0	2	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	508458	Synergistetes	phylum	1.0	1.0	1999613	1999613	1999613	1.0	1.0	2	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	203682	Planctomycetes	phylum	1.0	1.0	123116	123116	123116	1.0	1.0	10	10	10	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1930617	Calditrichaeota	phylum	1.0	1.0	4978230	4978230	4978230	1.0	1.0	11	11	11	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	203691	Spirochaetes	phylum	1.0	1.0	6342719	6342719	6342719	1.0	1.0	14	14	14	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200783	Aquificae	phylum	1.0	1.0	1983735	1983735	1983735	1.0	1.0	11	11	11	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	32066	Fusobacteria	phylum	1.0	1.0	3132217	3132217	3132217	1.0	1.0	3	3	3	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200930	Deferribacteres	phylum	1.0	1.0	1922812	1922812	1922812	1.0	1.0	89	89	89	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	28889	Crenarchaeota	phylum	0.9438717392413001	1.0	8745434	8254568	8254568	0.989247311827957	1.0	93	92	92	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200918	Thermotogae	phylum	1.0	1.0	7419416	7419416	7419416	1.0	1.0	127	127	127	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1239	Firmicutes	phylum	0.9993224285058253	0.9997995787067058	55095293	55057962	55068999	0.9975961538461539	0.9991974317817014	1248	1245	1246	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	201174	Actinobacteria	phylum	0.9973303456800026	0.9988394272629662	66477146	66299675	66376710	0.9903006789524733	0.994157740993184	1031	1021	1027	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1117	Cyanobacteria	phylum	1.0	0.9985028111532305	40839416	40839416	40900652	1.0	0.9987277353689568	785	785	786	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1224	Proteobacteria	phylum	0.998848198998915	0.9979923962921343	848300183	847323110	849027621	0.9983050847457627	0.9916550764951322	13570	13547	13661	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	976	Bacteroidetes	phylum	0.9997686856421166	0.9978027437000705	159181645	159144824	159495276	0.9985556090515166	0.9923444976076555	2077	2074	2090	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28890	Euryarchaeota	phylum	0.9990657902125302	0.9875046386957291	47941052	47896265	48502319	0.9964539007092199	0.9988151658767772	846	843	844	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	651137	Thaumarchaeota	phylum	1.0	0.8777010948604711	5960871	5960871	6791459	1.0	0.6853932584269663	122	122	178	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	192989	Nanoarchaeota	phylum		0.0	0	0	490866		0.0	0	0	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	7711	Chordata	phylum	0.0		165078	0	0	0.0		10	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200795	Chloroflexi	phylum	0.0		17330	0	0	0.0		1	0	0	True
