sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
marmgCAMI2_short_read_pooled_gold_standard_assembly	2157	Archaea	superkingdom	1.0	0.9994907338959761	64006599	64006599	64039212	1.0	0.9982062780269059	1113	1113	1115	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	0.9996020448579933	0.9342677810688432	1129931373	1129481711	1208948584	0.9991956241956242	0.9764699717010795	18648	18633	19082	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	10239	Viruses	superkingdom		0.0	0	0	449662		0.0	0	0	15	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	2759	Eukaryota	superkingdom	0.0		6695314	0	0	0.0		114	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200783	Aquificae	phylum	1.0	1.0	1983735	1983735	1983735	1.0	1.0	11	11	11	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1090	Chlorobi	phylum	1.0	1.0	6029797	6029797	6029797	1.0	1.0	2	2	2	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28889	Crenarchaeota	phylum	1.0	1.0	8254568	8254568	8254568	1.0	1.0	92	92	92	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	203682	Planctomycetes	phylum	1.0	1.0	123116	123116	123116	1.0	1.0	10	10	10	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	203691	Spirochaetes	phylum	1.0	1.0	6342719	6342719	6342719	1.0	1.0	14	14	14	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200918	Thermotogae	phylum	1.0	1.0	7419416	7419416	7419416	1.0	1.0	127	127	127	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1297	Deinococcus-Thermus	phylum	1.0	1.0	2269117	2269117	2269117	1.0	1.0	1	1	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	28890	Euryarchaeota	phylum	1.0	0.9995546810864858	48480720	48480720	48502319	1.0	0.9988151658767772	843	843	844	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	651137	Thaumarchaeota	phylum	1.0	0.9941500051756184	6751729	6751729	6791459	1.0	0.9831460674157303	175	175	178	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200930	Deferribacteres	phylum	1.0	0.9805316380384562	1885378	1885378	1922812	1.0	0.9775280898876404	87	87	89	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1239	Firmicutes	phylum	0.9997160332487046	0.9735838670319756	53629518	53614289	55068999	0.9991728701406121	0.9695024077046549	1209	1208	1246	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	201174	Actinobacteria	phylum	1.0	0.9710861686275201	64457505	64457505	66376710	1.0	0.9367088607594937	962	962	1027	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	976	Bacteroidetes	phylum	0.9999151963537046	0.9546143736570606	152269396	152256483	159495276	0.9995150339476236	0.9861244019138756	2062	2061	2090	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1117	Cyanobacteria	phylum	1.0	0.93598231636992	38282287	38282287	40900652	1.0	0.989821882951654	778	778	786	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1224	Proteobacteria	phylum	1.0	0.9154217021639158	777218310	777218310	849027621	1.0	0.9690359417319376	13238	13238	13661	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	508458	Synergistetes	phylum		0.0	0	0	1999613		0.0	0	0	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1930617	Calditrichaeota	phylum		0.0	0	0	4978230		0.0	0	0	11	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	32066	Fusobacteria	phylum		0.0	0	0	3132217		0.0	0	0	3	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	192989	Nanoarchaeota	phylum		0.0	0	0	490866		0.0	0	0	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	544448	Tenericutes	phylum		0.0	0	0	1878554		0.0	0	0	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	4890	Ascomycota	phylum	0.0		899378	0	0	0.0		28	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	6656	Arthropoda	phylum	0.0		722987	0	0	0.0		27	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	187857	Aquificae	class	1.0	1.0	1983735	1983735	1983735	1.0	1.0	11	11	11	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	188708	Thermotogae	class	1.0	1.0	7419416	7419416	7419416	1.0	1.0	127	127	127	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	183924	Thermoprotei	class	1.0	1.0	8254568	8254568	8254568	1.0	1.0	92	92	92	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	191410	Chlorobia	class	1.0	1.0	6029797	6029797	6029797	1.0	1.0	2	2	2	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	224756	Methanomicrobia	class	1.0	1.0	13295861	13295861	13295861	1.0	1.0	163	163	163	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	183963	Halobacteria	class	1.0	1.0	10183376	10183376	10183376	1.0	1.0	126	126	126	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	183939	Methanococci	class	1.0	1.0	3252589	3252589	3252589	1.0	1.0	98	98	98	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	666505	Phycisphaerae	class	1.0	1.0	123116	123116	123116	1.0	1.0	10	10	10	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	203692	Spirochaetia	class	1.0	1.0	6342719	6342719	6342719	1.0	1.0	14	14	14	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	188787	Deinococci	class	1.0	1.0	2269117	2269117	2269117	1.0	1.0	1	1	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	183968	Thermococci	class	1.0	0.9982958349698546	12652643	12652643	12674242	1.0	0.9963636363636363	274	274	275	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	768503	Cytophagia	class	0.9991912557544702	0.9974301516740177	15416493	15404025	15443713	0.9962264150943396	0.9887640449438202	265	264	267	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1553900	Oligoflexia	class	1.0	0.9965771980642879	6102678	6102678	6123638	1.0	0.9924812030075187	132	132	133	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	29547	Epsilonproteobacteria	class	1.0	0.9952010462700009	6635498	6635498	6667495	1.0	0.9915254237288136	234	234	236	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	183980	Archaeoglobi	class	1.0	0.9929281460170744	4156428	4156428	4186031	1.0	0.9871794871794872	77	77	78	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	186801	Clostridia	class	0.9993786265168859	0.9926591936533696	18246675	18235337	18370189	0.9963369963369964	0.9855072463768116	273	272	276	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28211	Alphaproteobacteria	class	1.0	0.9898132101671132	151525388	151525388	153084831	1.0	0.980399274047187	2701	2701	2755	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	68337	Deferribacteres	class	1.0	0.9805316380384562	1885378	1885378	1922812	1.0	0.9775280898876404	87	87	89	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	117743	Flavobacteriia	class	1.0	0.9650869317441536	126463873	126463873	131038841	1.0	0.9755962285080422	1759	1759	1803	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1760	Actinobacteria	class	1.0	0.9611177117176968	59153462	59153462	61546532	1.0	0.9259259259259259	950	950	1026	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	91061	Bacilli	class	0.9974476661806264	0.9607773113079143	35349608	35259384	36698810	0.9978586723768736	0.9608247422680413	934	932	970	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28221	Deltaproteobacteria	class	1.0	0.911934512455602	57667058	57667058	63235964	1.0	0.9862542955326461	287	287	291	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1236	Gammaproteobacteria	class	0.9999321207641494	0.8948040088324227	536570566	536534144	599610796	0.9997912317327766	0.9603930612654166	9580	9578	9973	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28216	Betaproteobacteria	class	0.9993487385071165	0.8617474395462336	17509096	17497693	20304897	0.9962264150943396	0.967032967032967	265	264	273	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1937959	Saprospiria	class		0.0	0	0	4399929		0.0	0	0	9	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	649775	Synergistia	class		0.0	0	0	1999613		0.0	0	0	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1962850	Calditrichae	class		0.0	0	0	4978230		0.0	0	0	11	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200643	Bacteroidia	class		0.0	0	0	5132065		0.0	0	0	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	84992	Acidimicrobiia	class		0.0	0	0	4830178		0.0	0	0	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	203490	Fusobacteriia	class		0.0	0	0	3132217		0.0	0	0	3	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1051663	Nanohaloarchaea	class		0.0	0	0	1118416		0.0	0	0	3	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	183967	Thermoplasmata	class		0.0	0	0	1584791		0.0	0	0	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	147550	Sordariomycetes	class	0.0		878715	0	0	0.0		26	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	6854	Arachnida	class	0.0		541156	0	0	0.0		21	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1643947	Petrotogales	order	1.0	1.0	2028420	2028420	2028420	1.0	1.0	68	68	68	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	94695	Methanosarcinales	order	1.0	1.0	10937717	10937717	10937717	1.0	1.0	120	120	120	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2037	Actinomycetales	order	1.0	1.0	479122	479122	479122	1.0	1.0	35	35	35	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	136	Spirochaetales	order	1.0	1.0	6342719	6342719	6342719	1.0	1.0	14	14	14	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	666506	Phycisphaerales	order	1.0	1.0	123116	123116	123116	1.0	1.0	10	10	10	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	2182	Methanococcales	order	1.0	1.0	3252589	3252589	3252589	1.0	1.0	98	98	98	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2419	Thermotogales	order	1.0	1.0	5390996	5390996	5390996	1.0	1.0	59	59	59	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2235	Halobacteriales	order	1.0	1.0	3145869	3145869	3145869	1.0	1.0	8	8	8	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	135613	Chromatiales	order	1.0	1.0	24547923	24547923	24547923	1.0	1.0	10	10	10	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	68933	Thermales	order	1.0	1.0	2269117	2269117	2269117	1.0	1.0	1	1	1	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2191	Methanomicrobiales	order	1.0	1.0	2358144	2358144	2358144	1.0	1.0	43	43	43	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	85011	Streptomycetales	order	1.0	1.0	15394435	15394435	15394435	1.0	1.0	30	30	30	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1161	Nostocales	order	1.0	1.0	32567	32567	32567	1.0	1.0	3	3	3	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	114380	Desulfurococcales	order	1.0	1.0	6033095	6033095	6033095	1.0	1.0	82	82	82	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	204441	Rhodospirillales	order	1.0	1.0	13575005	13575005	13575005	1.0	1.0	10	10	10	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	191411	Chlorobiales	order	1.0	1.0	6029797	6029797	6029797	1.0	1.0	2	2	2	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	205948	Cenarchaeales	order	1.0	1.0	940174	940174	940174	1.0	1.0	61	61	61	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	29	Myxococcales	order	1.0	0.9992543043328574	13693763	13693763	13703982	1.0	0.9962962962962963	269	269	270	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	768507	Cytophagales	order	0.9991912557544702	0.9974301516740177	15416493	15404025	15443713	0.9962264150943396	0.9887640449438202	265	264	267	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	85007	Corynebacteriales	order	1.0	0.9957198653645366	8465679	8465679	8502069	1.0	0.9090909090909091	30	30	33	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	80840	Burkholderiales	order	1.0	0.9947831021888114	17374436	17374436	17465552	1.0	0.9769230769230769	254	254	260	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1644055	Haloferacales	order	1.0	0.9935349265016716	6992009	6992009	7037507	1.0	0.9830508474576272	116	116	118	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2231	Archaeoglobales	order	1.0	0.9929281460170744	4156428	4156428	4186031	1.0	0.9871794871794872	77	77	78	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	186802	Clostridiales	order	0.9993398536324266	0.9922044076325031	17174979	17163641	17298493	0.9949238578680203	0.98	197	196	200	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2024979	Bacteriovoracales	order	1.0	0.9908611571710921	2272547	2272547	2293507	1.0	0.9919354838709677	123	123	124	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2258	Thermococcales	order	1.0	0.9890994664611895	12536086	12536086	12674242	1.0	0.9709090909090909	267	267	275	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	204457	Sphingomonadales	order	1.0	0.9883378393305686	20328275	20328275	20568144	1.0	0.9682080924855492	335	335	346	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	213849	Campylobacterales	order	1.0	0.9871887728031175	3598309	3598309	3645006	1.0	0.985	197	197	200	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	186826	Lactobacillales	order	0.9823584684892634	0.9824754485499716	7525197	7392441	7524301	0.9933774834437086	0.9771986970684039	302	300	307	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	204455	Rhodobacterales	order	0.9997003429071954	0.981763240835453	84076101	84050907	85612196	0.9994272623138603	0.9667590027700831	1746	1745	1805	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	191393	Deferribacterales	order	1.0	0.9805316380384562	1885378	1885378	1922812	1.0	0.9775280898876404	87	87	89	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	68295	Thermoanaerobacterales	order	1.0	0.9797377241307237	1049981	1049981	1071696	1.0	0.9736842105263158	74	74	76	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	85010	Pseudonocardiales	order	1.0	0.9782413312930404	5171149	5171149	5286169	1.0	0.9806201550387597	253	253	258	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1150	Oscillatoriales	order	1.0	0.9775587929947631	8169408	8169408	8356948	1.0	0.9732441471571907	291	291	299	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	135624	Aeromonadales	order	0.9977384900423802	0.9636421410834005	10407206	10383670	10775442	0.9953917050691244	0.9432314410480349	217	216	229	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200644	Flavobacteriales	order	1.0	0.9620177196164303	126061687	126061687	131038841	1.0	0.9678313921242374	1745	1745	1803	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	85006	Micrococcales	order	1.0	0.9568167330757461	8558785	8558785	8945062	1.0	0.9106529209621993	265	265	291	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	85008	Micromonosporales	order	1.0	0.9501068632917493	16894862	16894862	17782065	1.0	0.9852941176470589	134	134	136	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1706369	Cellvibrionales	order	1.0	0.9487517879524127	10633944	10633944	11208352	1.0	0.941025641025641	367	367	390	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	135623	Vibrionales	order	0.9984983259379422	0.9392175908687003	169396946	169142567	180088798	0.9980815347721822	0.9450499545867393	4170	4162	4404	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1385	Bacillales	order	1.0	0.9368113444514182	27331011	27331011	29174509	1.0	0.9291101055806938	616	616	663	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	72274	Pseudomonadales	order	0.9976508172360788	0.9290409156682623	33628716	33549716	36112205	0.9915824915824916	0.9592833876221498	594	589	614	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1955042	Gloeoemargaritales	order	1.0	0.910715908705066	2655368	2655368	2915693	1.0	0.9259259259259259	50	50	54	False
