sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
marmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	0.9985631498214904	0.9999623466203589	1210642575	1208903063	1208948584	0.996344456629589	0.9998427837752856	19149	19079	19082	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2157	Archaea	superkingdom	0.9998294993658543	0.9765957457440294	62551087	62540422	64039212	0.9990467111534795	0.9399103139013453	1049	1048	1115	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	10239	Viruses	superkingdom		0.0	0	0	449662		0.0	0	0	15	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1090	Chlorobi	phylum	1.0	1.0	6029797	6029797	6029797	1.0	1.0	2	2	2	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200918	Thermotogae	phylum	0.9956551396422311	1.0	7451793	7419416	7419416	0.9769230769230769	1.0	130	127	127	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28889	Crenarchaeota	phylum	0.8370155664650998	1.0	9861905	8254568	8254568	0.968421052631579	1.0	95	92	92	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1297	Deinococcus-Thermus	phylum	1.0	1.0	2269117	2269117	2269117	1.0	1.0	1	1	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200783	Aquificae	phylum	1.0	1.0	1983735	1983735	1983735	1.0	1.0	11	11	11	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	203691	Spirochaetes	phylum	1.0	1.0	6342719	6342719	6342719	1.0	1.0	14	14	14	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	203682	Planctomycetes	phylum	1.0	1.0	123116	123116	123116	1.0	1.0	10	10	10	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	508458	Synergistetes	phylum	1.0	1.0	1999613	1999613	1999613	1.0	1.0	2	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	544448	Tenericutes	phylum	0.9238269186131143	1.0	2033448	1878554	1878554	0.14285714285714285	1.0	14	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	201174	Actinobacteria	phylum	0.9990001620402639	0.9996782305118769	66421763	66355352	66376710	0.9951456310679612	0.9980525803310614	1030	1025	1027	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1224	Proteobacteria	phylum	0.997909567042005	0.998772447474945	849761765	847985395	849027621	0.9991183601498788	0.995461532830686	13611	13599	13661	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	976	Bacteroidetes	phylum	0.9701001525047953	0.9977391305307375	164039432	159134678	159495276	0.9942196531791907	0.9875598086124402	2076	2064	2090	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1117	Cyanobacteria	phylum	0.9994887146686096	0.9974859324980931	40818695	40797825	40900652	0.9974391805377721	0.9910941475826972	781	779	786	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1239	Firmicutes	phylum	0.9528825086520033	0.9955267572595609	57533496	54822662	55068999	0.9639498432601881	0.9871589085072231	1276	1230	1246	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200930	Deferribacteres	phylum	1.0	0.979279305517128	1882970	1882970	1922812	1.0	0.9662921348314607	86	86	89	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	28890	Euryarchaeota	phylum	0.9988804677127892	0.9397769620046414	45632449	45581362	48502319	0.9951749095295537	0.9774881516587678	829	825	844	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	651137	Thaumarchaeota	phylum	1.0	0.8697103229217757	5906602	5906602	6791459	1.0	0.6741573033707865	120	120	178	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1930617	Calditrichaeota	phylum		0.0	0	0	4978230		0.0	0	0	11	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	32066	Fusobacteria	phylum		0.0	0	0	3132217		0.0	0	0	3	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	192989	Nanoarchaeota	phylum		0.0	0	0	490866		0.0	0	0	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	74201	Verrucomicrobia	phylum	0.0		66591	0	0	0.0		2	0	0	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	188787	Deinococci	class	1.0	1.0	2269117	2269117	2269117	1.0	1.0	1	1	1	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	84992	Acidimicrobiia	class	1.0	1.0	4830178	4830178	4830178	1.0	1.0	1	1	1	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	191410	Chlorobia	class	1.0	1.0	6029797	6029797	6029797	1.0	1.0	2	2	2	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	649775	Synergistia	class	1.0	1.0	1999613	1999613	1999613	1.0	1.0	2	2	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	666505	Phycisphaerae	class	1.0	1.0	123116	123116	123116	1.0	1.0	10	10	10	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200643	Bacteroidia	class	1.0	1.0	5132065	5132065	5132065	1.0	1.0	1	1	1	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	183963	Halobacteria	class	1.0	1.0	10183376	10183376	10183376	1.0	1.0	126	126	126	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1937959	Saprospiria	class	1.0	1.0	4399929	4399929	4399929	1.0	1.0	9	9	9	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	188708	Thermotogae	class	0.9956551396422311	1.0	7451793	7419416	7419416	0.9769230769230769	1.0	130	127	127	False
