,Assembly,bipar,error,fn,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs_x,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+,Unnamed: 29,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs_y,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp
0,G000762875,10069,0,0.0,2491,2386,64,family,0.98,0.94,0.05,0.03,0.06,0.88,0.82,True,o__Campylobacterales (UID3068),106,477,284,95.87,0.94,0.0,2721767,0,68,68,117318,117318,40025,40025,258210,258210,34.9,5.47,89.22,11,2480,19,454,4,0,0,0,,68,55,36,34,25,19,2721767,2713931,2672711,2661332,2512739,2289612,68,258210,2721767,34.9,117318,70034,7,15,0.0
1,G000688415,10069,1,0.0001,2042,2004,11,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True,o__Actinomycetales (UID1812),229,453,225,99.67,0.0,0.0,2261008,0,13,13,279745,279745,173923,173923,506402,506402,55.29,1.74,89.74,11,2059,2,451,0,0,0,0,,13,13,11,11,11,11,2261008,2261008,2255852,2255852,2255852,2255852,13,506402,2261008,55.29,279745,152500,3,6,0.0
2,G000231275,10069,1,0.0001,2339,2303,6,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.98,True,p__Bacteroidetes (UID2605),350,314,208,100.0,0.0,0.0,2855429,4451,6,18,1670689,501180,475904,158387,1670689,1103102,54.75,3.36,87.46,11,2343,0,314,0,0,0,0,,6,4,2,2,2,2,2855429,2854325,2850931,2850931,2850931,2850931,6,1670689,2855429,54.75,1670689,1180242,1,2,155.88
3,G900142495,10069,0,0.0,3078,2925,29,phylum,0.97,0.93,0.25,0.02,0.05,0.89,0.82,True,k__Bacteria (UID2495),2993,147,91,98.9,0.55,0.0,3687051,0,29,29,252901,252901,127139,127139,924130,924130,50.34,4.96,91.47,11,3062,1,145,1,0,0,0,,29,29,26,24,21,14,3687051,3687051,3682473,3667795,3627919,3357005,29,924130,3687051,50.34,252901,152159,4,8,0.0
4,G000380725,10069,0,0.0,2141,1621,263,phylum,0.74,0.56,0.07,0.72,6.02,0.46,0.26,True,k__Bacteria (UID1452),924,161,108,53.96,3.4,80.0,2094346,2056,279,279,12383,12380,7506,7499,56770,56734,50.83,3.14,91.37,11,2179,68,88,5,0,0,0,,279,278,132,72,9,1,2094346,2093507,1750342,1304067,317423,56770,279,56770,2094346,50.83,12383,7192,50,104,98.17
5,G001796675,10069,1,0.0001,1216,1134,106,phylum,0.93,0.87,0.24,0.07,0.16,0.68,0.59,True,k__Bacteria (UID1452),924,151,101,63.25,0.0,0.0,1126229,52597,106,831,11929,2311,10624,1291,33095,10938,56.74,1.19,76.68,11,1261,54,97,0,0,0,0,,106,106,102,46,3,0,1126229,1126229,1111436,713725,87312,0,106,33095,1126229,56.74,11929,8484,33,61,4670.19
6,G000377645,10069,2,0.0002,3985,3949,79,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,c__Betaproteobacteria (UID3888),323,386,233,99.57,0.1,0.0,4204671,1455,79,81,130132,130132,53223,51891,808940,427857,69.97,4.11,90.43,11,3946,1,384,0,1,0,0,,79,79,61,57,44,21,4204671,4204671,4162426,4132071,3888736,3030100,79,808940,4204671,69.97,130132,47583,9,24,34.6
7,G000482805,10069,1,0.0001,2704,2684,53,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,k__Bacteria (UID2142),169,316,236,99.15,0.0,0.0,2767614,7918,53,66,132966,91608,52219,41813,265451,246486,69.43,4.69,90.72,11,2696,3,313,0,0,0,0,,53,53,37,34,26,16,2767614,2767614,2725096,2703196,2584999,2208941,53,265451,2767614,69.43,132966,73004,7,14,286.09
8,G000757865,10069,0,0.0,2073,2060,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,p__Cyanobacteria (UID2143),129,472,368,99.18,0.0,0.0,1929203,0,1,1,1929203,1929203,1929203,1929203,1929203,1929203,34.91,0.0,86.93,11,2199,3,469,0,0,0,0,,1,1,1,1,1,1,1929203,1929203,1929203,1929203,1929203,1929203,1,1929203,1929203,34.91,1929203,1929203,1,1,0.0
9,G001779235,10069,0,0.0,1290,1254,70,kingdom,1.0,0.97,0.0,0.0,0.0,0.96,0.93,True,k__Bacteria (UID1452),924,151,101,63.44,2.48,0.0,1288562,4447,70,140,25672,16987,18408,9172,58830,44329,39.65,1.87,88.94,11,1334,43,105,3,0,0,0,,70,70,70,45,18,4,1288562,1288562,1288562,1106352,694863,223461,70,58830,1288562,39.65,25672,13599,17,34,345.11
10,G000376445,10069,0,0.0,4473,4393,6,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.97,True,f__Halobacteriaceae (UID84),60,359,235,99.08,0.85,0.0,4317540,5,6,6,2950504,2950501,719590,719589,2950504,2950501,61.77,4.96,85.87,11,4391,3,353,3,0,0,0,,6,6,6,6,6,6,4317540,4317540,4317540,4317540,4317540,4317540,6,2950504,4317540,61.77,2950504,491863,1,2,0.12
11,G000336655,10069,2,0.0002,4308,4183,71,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.94,True,f__Halobacteriaceae (UID96),40,417,263,99.43,0.0,0.0,4338576,109,79,79,152980,152978,54918,54917,295811,295808,65.33,6.81,85.65,11,4264,2,415,0,0,0,0,,79,63,53,47,37,28,4338576,4331577,4309404,4270274,4114153,3819797,79,295811,4338576,65.33,152980,85796,11,20,2.51
12,G000192925,10069,6,0.0006,1902,1837,97,kingdom,1.0,0.97,0.0,0.0,0.0,0.95,0.91,True,o__Pseudomonadales (UID4679),87,674,364,99.59,0.27,0.0,1961697,0,99,99,74903,74903,19815,19815,275740,275740,41.53,4.08,86.84,11,1888,2,671,1,0,0,0,,99,79,40,34,25,14,1961697,1947633,1865722,1824762,1681669,1319548,99,275740,1961697,41.53,74903,33744,9,18,0.0
13,G001824325,10069,0,0.0,1104,1035,66,kingdom,1.0,0.93,0.0,0.0,0.0,0.93,0.87,True,k__Bacteria (UID1452),924,161,108,60.43,0.0,0.0,1012319,4009,66,164,20164,11041,15338,6148,52983,39134,47.23,1.47,89.25,11,1118,49,112,0,0,0,0,,66,66,65,40,8,3,1012319,1012319,1007469,828492,317443,155079,66,52983,1012319,47.23,20164,11611,17,34,396.02
14,G000513735,10069,0,0.0,4741,4649,329,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True,c__Gammaproteobacteria (UID4442),899,312,185,90.15,0.89,25.0,3332225,0,334,334,19185,19185,9976,9976,75875,75875,49.44,3.19,83.84,11,5100,25,283,4,0,0,0,,334,297,180,107,31,5,3332225,3307793,3009530,2460816,1210005,322487,334,75875,3332225,49.44,19185,9813,52,111,1.83
15,G000741765,10069,1,0.0001,1720,1636,25,kingdom,1.0,0.95,0.0,0.0,0.0,0.97,0.93,True,f__Bifidobacteriaceae (UID1458),77,464,220,99.09,0.11,0.0,2164426,0,25,25,164346,164346,86577,86577,374076,374076,52.85,7.77,85.96,11,1751,2,461,1,0,0,0,,25,25,19,19,17,15,2164426,2164426,2151841,2151841,2126186,2039329,25,374076,2164426,52.85,164346,74912,4,9,1.29
16,G002002665,10069,1,0.0001,2367,2221,102,phylum,0.99,0.93,0.37,0.03,0.07,0.94,0.88,True,k__Bacteria (UID3187),2258,181,110,93.02,1.88,33.33,2340676,0,104,104,54724,54724,22506,22506,164527,164527,54.7,4.97,90.78,11,2361,21,157,3,0,0,0,,104,95,69,56,29,13,2340676,2334661,2278492,2186126,1750325,1196942,104,164527,2340676,54.7,54724,24838,13,30,0.0
