parentID	contigID
G900094975	G900094975.part_NZ_FMAU01000004.1
G002006995	G002006995.part_NZ_MRUL01000011.1
G001916215	G001916215.part_MNRZ01000001.1
G000336655	G000336655.part_NZ_AOLZ01000076.1
G000768875	G000768875.part_NZ_JRAO01000018.1
G001424305	G001424305.part_NZ_LMPD01000003.1
G001074355	G001074355.part_NZ_JUTO01000028.1
G900107575	G900107575.part_FNQX01000008.1
G001649505	G001649505.part_NZ_LVYG01000003.1
G000382265	G000382265.part_NZ_KB907974.1
G001769705	G001769705.part_MEPF01000028.1
G000173655	G000173655.part_NZ_ABZU01000009.1
G000519205	G000519205.part_NZ_JAFB01000031.1
G000830925	G000830925.part_NZ_CP006949.1
G000429865	G000429865.part_NZ_KE386978.1
G000445105	G000445105.part_NZ_ATDP01000103.1
G900115085	G900115085.part_FOVF01000007.1
G900107845	G900107845.part_FNRM01000001.1
G000337675	G000337675.part_NZ_AOIB01000043.1
G001005215	G001005215.part_NZ_LBNQ01000023.1
G000482805	G000482805.part_NZ_KI519505.1
G900101015	G900101015.part_FNFZ01000001.1
G000686845	G000686845.part_NZ_JMLS01000021.1
G900142495	G900142495.part_NZ_FRBA01000008.1
G001772335	G001772335.part_METM01000021.1
G000751675	G000751675.part_NZ_CCFF01000014.1
G000450985	G000450985.part_NZ_AVMC01000066.1
G001625015	G001625015.part_NZ_LVWJ02000014.1
G900089455	G900089455.part_NZ_FLRC01000033.1
G000307245	G000307245.part_NZ_DF158874.1
G001183545	G001183545.part_NZ_KQ236688.1
G000435575	G000435575.part_FR881883.1
G000422425	G000422425.part_NZ_AULT01000011.1
G001676225	G001676225.part_NZ_LZEY01000059.1
G001298265	G001298265.part_NZ_LGSZ01000053.1
G001570425	G001570425.part_NZ_BCSX01000051.1
G000220545	G000220545.part_NZ_AFPL01000031.1
G000684975	G000684975.part_NZ_BAXZ01000024.1
G001280505	G001280505.part_NZ_LBIO01000055.1
G001774335	G001774335.part_MEZR01000023.1
G001447335	G001447335.part_NZ_CP013067.1
G001403775	G001403775.part_NZ_CYUG01000017.1
G001312505	G001312505.part_NZ_BBDW01000005.1
G000376445	G000376445.part_NZ_AQXI01000003.1
G000684975	G000684975.part_NZ_BAXZ01000019.1
G001785275	G001785275.part_MFTK01000017.1
G000620645	G000620645.part_NZ_JIAV01000002.1
G001708185	G001708185.part_NZ_MDDN01000010.1
G001894865	G001894865.part_NZ_BCXA01000016.1
G001553285	G001553285.part_NZ_KQ960678.1
G000429305	G000429305.part_NZ_AUBP01000026.1
G900097105	G900097105.part_NZ_LT629973.1
G000711975	G000711975.part_NZ_JONT01000008.1
G001821935	G001821935.part_MHOU01000002.1
G900116115	G900116115.part_FOZP01000006.1
G001422605	G001422605.part_NZ_LMLK01000024.1
G000429305	G000429305.part_NZ_KE386882.1
G000423405	G000423405.part_NZ_AUHX01000008.1
G000482805	G000482805.part_NZ_AXWT01000009.1
