genome	top_class
G000008665.part_1_100	13
G000008665.part_1_103	13
G000008665.part_1_104	13
G000008665.part_1_107	13
G000008665.part_1_108	13
G000008665.part_1_109	13
G000008665.part_1_111	13
G000008665.part_1_112	13
G000008665.part_1_115	13
G000008665.part_1_116	13
G000008665.part_1_117	13
G000008665.part_1_11	13
G000008665.part_1_120	13
G000008665.part_1_121	13
G000008665.part_1_122	13
G000008665.part_1_123	13
G000008665.part_1_124	13
G000008665.part_1_126	13
G000008665.part_1_128	13
G000008665.part_1_129	13
G000008665.part_1_12	13
G000008665.part_1_130	13
G000008665.part_1_131	13
G000008665.part_1_132	13
G000008665.part_1_133	13
G000008665.part_1_134	13
G000008665.part_1_138	13
G000008665.part_1_140	13
G000008665.part_1_141	13
G000008665.part_1_142	13
G000008665.part_1_144	13
G000008665.part_1_145	13
G000008665.part_1_146	13
G000008665.part_1_147	13
G000008665.part_1_149	13
G000008665.part_1_14	13
G000008665.part_1_150	13
G000008665.part_1_152	13
G000008665.part_1_153	13
G000008665.part_1_155	13
G000008665.part_1_156	13
G000008665.part_1_157	13
G000008665.part_1_158	13
G000008665.part_1_159	13
G000008665.part_1_15	13
G000008665.part_1_160	13
G000008665.part_1_161	13
G000008665.part_1_163	13
G000008665.part_1_164	13
G000008665.part_1_165	13
G000008665.part_1_166	13
G000008665.part_1_168	13
G000008665.part_1_169	13
G000008665.part_1_16	13
G000008665.part_1_170	13
G000008665.part_1_171	13
G000008665.part_1_172	13
G000008665.part_1_173	13
G000008665.part_1_175	13
G000008665.part_1_176	13
G000008665.part_1_179	13
G000008665.part_1_17	13
G000008665.part_1_180	13
G000008665.part_1_181	13
G000008665.part_1_182	13
G000008665.part_1_184	13
G000008665.part_1_188	13
G000008665.part_1_189	13
G000008665.part_1_18	13
G000008665.part_1_191	13
G000008665.part_1_192	13
G000008665.part_1_195	13
G000008665.part_1_196	13
G000008665.part_1_197	13
G000008665.part_1_198	13
G000008665.part_1_199	13
G000008665.part_1_1	13
G000008665.part_1_201	13
G000008665.part_1_205	13
G000008665.part_1_206	13
G000008665.part_1_207	13
G000008665.part_1_209	13
G000008665.part_1_210	13
G000008665.part_1_212	13
G000008665.part_1_213	13
G000008665.part_1_214	13
G000008665.part_1_215	13
G000008665.part_1_217	13
G000008665.part_1_220	13
G000008665.part_1_221	13
G000008665.part_1_222	13
G000008665.part_1_223	13
G000008665.part_1_224	13
G000008665.part_1_225	13
G000008665.part_1_227	13
G000008665.part_1_228	13
G000008665.part_1_229	13
G000008665.part_1_22	13
G000008665.part_1_230	13
G000008665.part_1_231	13
G000008665.part_1_233	13
G000008665.part_1_234	13
G000008665.part_1_238	13
G000008665.part_1_239	13
G000008665.part_1_23	13
G000008665.part_1_240	13
G000008665.part_1_243	13
G000008665.part_1_244	13
G000008665.part_1_245	13
G000008665.part_1_247	13
G000008665.part_1_24	13
G000008665.part_1_250	13
G000008665.part_1_29	13
G000008665.part_1_2	13
G000008665.part_1_32	13
G000008665.part_1_33	13
G000008665.part_1_34	13
G000008665.part_1_35	13
G000008665.part_1_36	13
