genome	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G000526315	7.0	1.0	6.764208328336004e-35	1.0179033169840299e-32	1.401298464324817e-45	6.403933981964414e-41	1.5214889021097387e-22	7.804851293106935e-36	0.0	1.0	8.264670273536147e-34	1.3761082112736204e-23	1.6019321091325007e-15	7.514108122664131e-27	0.0	5.915512771684962e-34	5.07940465925343e-31
G000404225	13.0	1.0	4.718849420643296e-34	3.8237769335866694e-25	5.781187655066093e-28	8.94322152015618e-21	4.517596567199946e-23	1.452287980795769e-19	7.428986345531243e-24	2.8361223899966706e-24	4.4383048045240005e-30	7.046275368300881e-23	3.2967721541310986e-22	1.3661686045604366e-18	1.8202180471374153e-24	1.0	6.342164590583976e-25
G000219275	8.0	1.0	2.408403823363663e-36	9.198614274430672e-27	8.345953497040279e-22	1.9921199190656272e-34	9.863122849268517e-23	2.097020184837524e-21	6.415612067054466e-37	6.64973329281928e-23	1.0	4.589177074378753e-15	4.3910670794442865e-15	2.645602565606166e-18	1.8818604302137782e-27	3.3285345792341895e-33	2.171096666299051e-26
G000093025	9.0	0.9999997615814209	1.608427192933597e-39	7.430346341731844e-24	6.454590561884223e-23	2.6585655870327793e-38	2.3478985312389238e-20	1.7923736557930662e-32	5.605193857299268e-45	3.999900110556572e-21	2.625800163968961e-07	0.9999997615814209	4.729010625893839e-20	1.1478806161082714e-21	2.726750296783909e-27	1.3590053197862146e-34	1.4110069949982345e-29
G001427385	7.0	1.0	1.219261946537623e-38	5.1769857451941536e-36	1.337259124505173e-41	3.621306789574057e-37	1.883085526288465e-30	2.589599562072262e-42	1.0354194352896073e-41	1.0	6.297243771443702e-35	3.528321671018419e-15	3.9605714690594405e-23	8.760960866046447e-33	0.0	1.9173686627663607e-40	7.830617606962575e-36
G000237805	14.0	1.0	3.7678430935092583e-17	4.3534110778092883e-13	7.556531897608132e-13	2.900112025615031e-25	9.991443274700189e-19	1.4183004770629282e-10	1.285956186427777e-39	2.58861589932588e-13	3.0556193191583058e-21	2.1352767638965502e-34	9.658848422266803e-25	9.72728314608138e-19	4.413514555187925e-25	9.332841946908376e-15	1.0
G000508965	5.0	1.0	4.0083122426729364e-38	3.558838121827709e-26	1.203688082540566e-08	3.059995056131097e-20	2.97561819382565e-27	1.0	2.07136414450597e-36	5.633194079436668e-21	9.25537241720049e-23	5.800043283247245e-16	4.375456684965196e-27	2.57167625165252e-21	4.234340495770601e-34	4.4685057111798183e-32	1.7094839224012875e-27
G001779145	12.0	1.0	9.442909705635646e-26	2.9260709728155255e-25	1.5855666647733097e-29	7.0486178434272805e-22	4.295721384914416e-21	1.894937441844243e-17	5.211262493692512e-29	1.2209263400607776e-26	7.234483581769733e-41	5.50325533157907e-33	3.9784445232642394e-28	6.722189062558562e-24	1.0	6.225274840915221e-29	1.9751728362962535e-16
G001508335	11.0	1.0	9.469256436054608e-38	3.6914405445708656e-41	0.0	4.5321371236804866e-35	1.8009641743863472e-29	6.777522955150339e-39	4.9073649023476935e-21	3.000866608009557e-35	9.546499931043892e-40	0.0	1.4834757771156615e-12	1.0	3.5261865960058275e-35	8.167339484662393e-23	1.170719391576202e-17
G001307035	1.0	1.0	4.3692486117647796e-41	1.0	3.183054234049269e-29	2.6518685295546354e-32	3.9708191382497214e-20	6.006681205894667e-17	1.4839750737199813e-42	3.0126735901016775e-32	4.1619700495979615e-35	1.732417433955864e-24	1.8834955306849781e-22	1.886115002053924e-27	2.126750480926754e-33	4.5979900131397433e-23	1.3056679663560355e-25
G001676225	8.0	1.0	1.7209346440373078e-41	4.706038476947783e-24	1.4576535317816125e-36	1.23383575175833e-32	5.375009703870305e-27	2.9883167594054643e-32	0.0	2.0102661085031618e-26	1.0	2.6732138027543978e-20	1.68628361128464e-20	9.057474743368345e-30	2.0936642064802562e-35	4.33005289241915e-38	5.215855746724735e-37
G000768695	1.0	1.0	1.013769374015789e-40	1.0	3.7173550956253334e-35	0.0	9.909994315299695e-17	4.965510823523162e-30	4.8319015612760727e-32	1.1708450355659152e-31	9.332647772403282e-43	7.793163073826389e-35	9.762367480333848e-28	1.953733759214054e-38	7.908928532649268e-42	6.571817084692042e-21	0.0
G001292625	7.0	1.0	2.236472349062408e-42	1.1022511425591115e-38	1.263971214820985e-42	1.26427821662577e-29	1.9366390176576903e-29	1.4642728173115744e-40	0.0	1.0	1.8146942911426327e-37	2.1015881059924412e-33	2.8298018392088135e-23	4.0030160071010515e-35	1.2751816025355835e-43	4.671500282728857e-39	6.840298323755162e-41
G000018945	14.0	1.0	5.394582737302118e-28	4.273458090821078e-37	1.990539889354229e-34	6.834206342934963e-29	7.293647764524475e-29	6.246841466498571e-32	5.03642326747899e-36	1.3471131970056058e-34	2.1073567085595194e-40	1.5669319428080104e-41	5.530127744624025e-11	3.005391765297221e-20	8.046495344603525e-28	7.800840504015554e-19	1.0
