genome	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G000008665.part_1_174	13.0	1.0	6.70998185404447e-20	2.465630323874158e-21	8.947013626276853e-20	1.8823672479138624e-15	6.121374549150583e-15	1.0430301032051358e-14	1.858696573389662e-14	8.217751023935349e-15	1.1136715075116656e-15	1.6646189884847489e-18	2.2410318392673823e-11	4.644227710737248e-12	3.0365456179686824e-17	1.0	5.2393801978843535e-17
G000008665.part_1_4	13.0	0.9999983310699463	4.494390170053616e-16	7.231646700084018e-21	6.031476316656348e-14	1.3898946690836869e-14	3.3494310103243663e-10	7.914640470785272e-11	5.177255956031416e-16	2.5168092054883573e-09	1.6760310384022516e-14	8.816985150832339e-18	5.220943677386458e-10	1.7025014358296175e-06	2.09632170881077e-16	0.9999983310699463	4.430904254615342e-11
G000283915.part_1_128	10.0	0.9999992847442627	6.054917622930238e-19	1.7087894447142486e-16	2.7682733492670475e-13	1.7628670434532978e-07	2.4995557706963822e-11	1.189483178620776e-08	5.555615345542719e-08	1.8789596343670584e-15	6.3839413755317764e-09	6.690319132029998e-11	0.9999992847442627	7.850083083571491e-11	1.0238090621594517e-13	4.163578593767252e-14	5.091411594548845e-07
G900089075.part_8_107	6.0	0.9999974966049194	3.337947469172548e-16	1.0802284905268535e-20	2.7681818401949398e-18	2.3345921817963244e-06	2.4476988903614216e-13	2.1050286080209757e-12	0.9999974966049194	3.155760211338805e-18	4.3255842159008184e-13	1.337495347494052e-14	1.7596854691697555e-13	1.2521837788881385e-07	7.679852915176873e-16	2.0827849477171764e-18	1.0265918115592854e-09
G000018945.part_1_184	14.0	1.0	7.818634234326365e-17	1.084852497803736e-22	2.612935755650375e-18	3.543208632408438e-17	1.1690821529897758e-16	3.113147836647013e-17	3.858438089422583e-21	2.0398361793497746e-19	1.2491371889810253e-17	6.227250880785887e-20	2.582375285831162e-11	3.426114669746738e-10	2.4576173920638853e-16	8.692731257031738e-11	1.0
G000318295.part_13_12	6.0	1.0	6.591178991488533e-12	2.357542302230362e-16	2.0701487298846632e-20	5.6989947483376824e-11	1.5734701735992118e-11	7.64198291913808e-15	1.0	1.198586129306015e-19	3.6036376172267847e-16	2.6786205699802675e-15	4.831545320077568e-12	8.604983045557013e-12	1.7996575511089138e-16	3.785997060976837e-17	5.167065993821884e-12
G000017265.part_1_160	7.0	1.0	1.6271816635661509e-25	1.3349470269609984e-21	4.151741144107661e-28	5.516640280864609e-27	1.3247323397481189e-14	5.376080846773365e-14	1.665322733962477e-27	1.0	9.714956595912755e-22	2.2538582802942957e-14	2.8191721960363347e-12	2.4371277218548926e-10	8.563380317559201e-38	1.3304766048529982e-16	9.127063057530944e-20
G000018945.part_1_80	14.0	0.9998145699501038	2.6428918202925746e-16	1.402243191844793e-16	5.761167117946232e-16	1.1153119721024808e-16	6.850141114067565e-14	4.901166625665061e-16	6.584109279400264e-22	1.6332632597998544e-18	5.542507812543801e-17	2.6968563307211767e-18	0.0001763382606441155	2.6093434826179873e-06	1.6051987863918704e-11	6.453304649767233e-06	0.9998145699501038
G000298475.part_1_117	11.0	0.9999090433120728	4.4453964814783475e-11	2.685529478917842e-13	1.0400788076482774e-20	1.6783439465680242e-14	1.4782836066373761e-09	9.557508864194153e-13	8.842283016896602e-10	1.0881764239689673e-11	7.252327627327304e-09	2.2685428188728984e-11	1.4933583543097484e-06	0.9999090433120728	1.5127341601584021e-09	2.074410332397747e-08	8.942492422647774e-05
G001606005.part_1_239	1.0	0.9999324083328247	1.2288116182956107e-14	0.9999324083328247	2.7166694777409297e-19	1.0803861815246442e-18	6.755827780580148e-05	2.5720449533216116e-13	5.209548028354302e-16	6.398101417393535e-18	3.165271237419516e-19	1.76057505705228e-13	1.9822447990761743e-13	2.1854929324605088e-11	5.172833914651156e-16	4.539929543412313e-10	1.5782821022122134e-15
