genome	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G000526315	7.0	1.0	1.2020215114321033e-32	1.003659117251147e-34	6.458873289556733e-39	7.2513780719155074e-34	5.643364503367109e-22	9.191812055388456e-34	0.0	1.0	4.681080875313452e-31	1.2913933852950222e-23	1.8627531835806524e-14	2.4112003494986656e-27	0.0	5.029631759901477e-34	1.2928385539948175e-29
G000404225	13.0	1.0	8.556157717912145e-32	1.1349380053864793e-25	2.3042341040909013e-28	3.9719229881589536e-21	9.20860432511792e-23	1.0226165079294001e-17	1.9472149893319092e-24	3.827279229486818e-25	4.098890966995256e-31	1.7701364710402084e-22	9.340497450849803e-23	5.8996961470088965e-18	3.085541867211508e-24	1.0	5.737717178290677e-25
G000219275	8.0	1.0	3.22160096016584e-33	4.424664019399479e-22	2.210963304474745e-19	4.410759492420956e-30	2.3583832070617468e-20	1.4129331777730607e-17	7.742906098553928e-35	4.717062874362563e-21	1.0	5.204806041454041e-14	6.539633201282924e-13	2.090206263280492e-15	3.0307703177896883e-25	1.0161861654157979e-29	1.2429487665736304e-24
G000093025	9.0	1.0	7.012040477028693e-36	1.1997422757707712e-21	1.1831944629931625e-20	1.947332390437848e-33	1.4131149041837598e-19	5.696616700830647e-29	5.409012072293794e-43	2.661582060066511e-21	2.394257947457845e-08	1.0	9.959174959004495e-19	7.913536624645544e-19	1.1008555904511483e-24	2.865079401033194e-32	2.2741941710420784e-28
G001427385	7.0	1.0	1.6961682088763702e-34	1.3165945684153449e-35	3.0739259782456398e-37	8.544500262374869e-35	1.6857107487243818e-28	9.909504896928772e-39	1.4624357150248445e-39	1.0	3.216972745033065e-32	4.747844370260601e-13	1.4033640926606362e-20	9.82912829208428e-31	7.006492321624085e-45	2.9667730567299297e-40	1.8490440915094148e-32
G000237805	14.0	1.0	1.1285986846394587e-20	1.4465186098494e-15	6.412145987788609e-12	1.5998789411174188e-24	1.988613123315005e-18	1.8615918528919195e-10	4.650909603094068e-42	1.1591539157023746e-14	1.0884807480480636e-20	2.9052476042042265e-34	1.4287538101381535e-25	3.0006261063696644e-20	1.4387298191012883e-25	5.356275861213844e-14	1.0
G000508965	5.0	1.0	1.8164673260635737e-37	1.6497690007688035e-26	1.5735180519671488e-11	4.7171913135397074e-20	2.543800168761365e-29	1.0	7.848639067520157e-39	1.1949269772974371e-23	1.6384188392496045e-24	4.527996599282624e-17	7.276949109312287e-28	7.227474824963975e-23	2.944980690794462e-35	3.3393193725609994e-33	6.848590030353997e-28
G001779145	12.0	1.0	1.106776898734873e-22	5.841644425653855e-27	1.103119709071538e-27	1.4729186730664086e-21	2.7829280018996197e-20	1.5293726463625168e-16	1.2442134330938442e-27	1.103957989339132e-26	1.414666179051213e-37	2.6016881450859705e-32	1.5022742752426314e-27	1.2192718716984998e-22	1.0	1.2541250389596386e-27	1.8291288978383247e-15
G001508335	11.0	1.0	6.447190473683066e-36	0.0	0.0	5.703688000900565e-35	1.1473118568342045e-28	5.740240353422565e-38	8.22966517597337e-24	1.1934357925291935e-33	4.5227717326076465e-37	0.0	1.1132818300042813e-13	1.0	6.950021957571723e-35	1.775016711698704e-24	2.3347360972898562e-18
G001307035	1.0	1.0	2.1402732094865094e-40	1.0	4.093640739026743e-31	2.9348931860228807e-31	1.2642020213704564e-20	3.1278488213655505e-17	1.1210387714598537e-44	5.7595043957752086e-36	1.1068207999446735e-34	3.4572366582802524e-25	4.265182534545844e-23	4.0232399204337365e-27	8.375372454024836e-34	2.3984147323029005e-25	8.036625858825615e-26
G001676225	8.0	1.0	1.4755160514621767e-37	6.3192834481029345e-21	8.99704678986333e-36	2.3497604699151974e-29	3.256131238376612e-27	1.6655068528651605e-27	0.0	4.2474014519699814e-24	1.0	6.97009122104247e-21	1.7347695137477745e-19	2.0870313649705038e-26	6.8840706064098384e-31	4.577885406570478e-36	1.626108502203297e-32
G000768695	1.0	1.0	3.6321768299176404e-39	1.0	2.391445925815696e-31	5.74532370373175e-43	3.668574554403811e-18	1.0378461252506032e-30	3.1206416530149584e-30	1.902803011389769e-33	3.3784465195792745e-40	2.030611820226695e-35	1.1803405924154734e-28	6.8006821588182966e-37	1.3156090632313545e-40	1.4654855207464368e-23	4.203895392974451e-45
G001292625	7.0	1.0	6.674384585579104e-42	6.485516457518633e-38	3.9426933592243053e-41	1.9629129762191613e-25	7.362278398463336e-28	9.920602653878002e-36	0.0	1.0	6.3281091615404124e-37	5.634486510714413e-35	1.3349462696545294e-22	3.5172547330466864e-34	8.06204841584604e-40	8.166996702513797e-38	4.899410267563574e-38
