genome	top_class
G000008665.part_1_100	0
G000008665.part_1_101	0
G000008665.part_1_103	0
G000008665.part_1_105	0
G000008665.part_1_106	0
G000008665.part_1_107	0
G000008665.part_1_108	0
G000008665.part_1_109	0
G000008665.part_1_10	0
G000008665.part_1_110	0
G000008665.part_1_112	0
G000008665.part_1_114	0
G000008665.part_1_115	0
G000008665.part_1_116	0
G000008665.part_1_117	0
G000008665.part_1_118	0
G000008665.part_1_119	0
G000008665.part_1_11	0
G000008665.part_1_121	0
G000008665.part_1_122	0
G000008665.part_1_124	0
G000008665.part_1_126	0
G000008665.part_1_128	0
G000008665.part_1_12	0
G000008665.part_1_131	0
G000008665.part_1_133	0
G000008665.part_1_135	0
G000008665.part_1_138	0
G000008665.part_1_139	0
G000008665.part_1_140	0
G000008665.part_1_142	0
G000008665.part_1_146	0
G000008665.part_1_149	0
G000008665.part_1_150	0
G000008665.part_1_151	0
G000008665.part_1_153	0
G000008665.part_1_156	0
G000008665.part_1_157	0
G000008665.part_1_159	0
G000008665.part_1_15	0
G000008665.part_1_160	0
G000008665.part_1_161	0
G000008665.part_1_162	0
G000008665.part_1_163	0
G000008665.part_1_166	0
G000008665.part_1_168	0
G000008665.part_1_169	0
G000008665.part_1_16	0
G000008665.part_1_170	0
G000008665.part_1_171	0
G000008665.part_1_172	0
G000008665.part_1_173	0
G000008665.part_1_174	0
G000008665.part_1_175	0
G000008665.part_1_176	0
G000008665.part_1_177	0
G000008665.part_1_178	0
G000008665.part_1_179	0
G000008665.part_1_17	0
G000008665.part_1_181	0
G000008665.part_1_182	0
G000008665.part_1_185	0
G000008665.part_1_186	0
G000008665.part_1_187	0
G000008665.part_1_189	0
G000008665.part_1_18	0
G000008665.part_1_190	0
G000008665.part_1_191	0
G000008665.part_1_194	0
G000008665.part_1_196	0
G000008665.part_1_197	0
G000008665.part_1_198	0
G000008665.part_1_199	0
G000008665.part_1_19	0
G000008665.part_1_1	0
G000008665.part_1_200	0
G000008665.part_1_201	0
G000008665.part_1_203	0
G000008665.part_1_204	0
G000008665.part_1_205	0
G000008665.part_1_208	0
G000008665.part_1_209	0
G000008665.part_1_20	0
G000008665.part_1_210	0
G000008665.part_1_211	0
G000008665.part_1_213	0
G000008665.part_1_216	0
G000008665.part_1_218	0
G000008665.part_1_219	0
G000008665.part_1_221	0
G000008665.part_1_223	0
G000008665.part_1_224	0
G000008665.part_1_226	0
G000008665.part_1_227	0
G000008665.part_1_228	0
G000008665.part_1_229	0
G000008665.part_1_22	0
G000008665.part_1_230	0
G000008665.part_1_231	0
G000008665.part_1_232	0
G000008665.part_1_233	0
G000008665.part_1_234	0
G000008665.part_1_235	0
G000008665.part_1_237	0
G000008665.part_1_238	0
G000008665.part_1_23	0
G000008665.part_1_240	0
G000008665.part_1_241	0
G000008665.part_1_244	0
G000008665.part_1_245	0
G000008665.part_1_25	0
G000008665.part_1_26	0
G000008665.part_1_28	0
G000008665.part_1_29	0
G000008665.part_1_2	0
G000008665.part_1_30	0
G000008665.part_1_31	0
G000008665.part_1_32	0
G000008665.part_1_34	0
G000008665.part_1_36	0
G000008665.part_1_37	0
G000008665.part_1_39	0
G000008665.part_1_3	0
G000008665.part_1_40	0
G000008665.part_1_41	0
G000008665.part_1_42	0
G000008665.part_1_45	0
G000008665.part_1_48	0
G000008665.part_1_4	0
G000008665.part_1_50	0
G000008665.part_1_53	0
G000008665.part_1_54	0
G000008665.part_1_56	0
G000008665.part_1_58	0
G000008665.part_1_59	0
G000008665.part_1_60	0
G000008665.part_1_61	0
G000008665.part_1_62	0
G000008665.part_1_65	0
G000008665.part_1_66	0
G000008665.part_1_67	0
G000008665.part_1_68	0
G000008665.part_1_70	0
G000008665.part_1_71	0
G000008665.part_1_72	0
G000008665.part_1_73	0
G000008665.part_1_74	0
G000008665.part_1_75	0
G000008665.part_1_76	0
G000008665.part_1_77	0
G000008665.part_1_80	0
G000008665.part_1_83	0
G000008665.part_1_84	0
G000008665.part_1_85	0
G000008665.part_1_86	0
G000008665.part_1_87	0
G000008665.part_1_88	0
G000008665.part_1_89	0
G000008665.part_1_8	0
G000008665.part_1_90	0
G000008665.part_1_91	0
G000008665.part_1_92	0
G000008665.part_1_93	0
G000008665.part_1_95	0
G000008665.part_1_98	0
G000008665.part_1_9	0
G000017265.part_1_100	0
G000017265.part_1_101	0
G000017265.part_1_103	0
G000017265.part_1_105	0
G000017265.part_1_106	0
G000017265.part_1_107	0
G000017265.part_1_108	0
G000017265.part_1_109	0
G000017265.part_1_10	0
G000017265.part_1_110	0
G000017265.part_1_112	0
G000017265.part_1_114	0
G000017265.part_1_115	0
G000017265.part_1_116	0
G000017265.part_1_117	0
G000017265.part_1_118	0
G000017265.part_1_119	0
G000017265.part_1_11	0
G000017265.part_1_121	0
G000017265.part_1_122	0
G000017265.part_1_124	0
G000017265.part_1_126	0
G000017265.part_1_128	0
G000017265.part_1_12	0
G000017265.part_1_131	0
G000017265.part_1_133	0
G000017265.part_1_135	0
G000017265.part_1_138	0
G000017265.part_1_139	0
G000017265.part_1_140	0
G000017265.part_1_142	0
G000017265.part_1_146	0
G000017265.part_1_149	0
G000017265.part_1_150	0
G000017265.part_1_151	0
G000017265.part_1_153	0
G000017265.part_1_156	0
G000017265.part_1_157	0
G000017265.part_1_159	0
G000017265.part_1_15	0
G000017265.part_1_160	0
G000017265.part_1_161	0
G000017265.part_1_162	0
