genome clade
G001940755 13
G001918745 13
G001920395 13
G001918475 13
G000724145 13
G000722915 13
G001717035 13
G001316245 13
G001315985 13
G000245175 13
G000338775 13
G001560635 13
G001742785 13
G001875345 13
G001629235 13
G000011185 13
G000404225 13
G001305655 13
G001488575 13
G001282785 13
G001563795 13
G000336915 13
G000416085 13
G000376445 13
G000337675 13
G000336655 13
G000337475 13
G000008665 13
G001512375 13
G000691865 13
G900114835 13
G900100715 13
G000969905 13
G000970025 13
G000970125 13
G000979995 13
G000990125 12
G001772695 12
G001772535 12
G001816645 12
G001776455 12
G001776535 12
G000992925 12
G001779145 12
G001782685 12
G000990055 12
G000998865 12
G001779235 12
G000997505 12
G001789365 12
G000990725 12
G001774335 12
G001787315 12
G001000475 12
G000998105 12
G001775565 12
G001773735 12
G001792495 12
G001793005 12
G000993365 12
G000996165 12
G001787615 12
G001788915 12
G001789115 12
G001790445 12
G001779955 12
G001779925 0
G001780145 0
G001889965 0
G001000025 0
G001818445 0
G001818855 0
G001817505 0
G001783255 0
G001784285 0
G001791035 0
G001791655 0
G001824325 0
G001819635 0
G000998935 0
G000991295 0
G001820095 0
G001821935 0
G000989435 0
G001820475 0
G001872265 0
G000398025 0
G001794055 0
G001775785 0
G001824435 0
G001793865 0
G001000675 0
G001822215 0
G001821725 0
G001780635 0
G001001285 0
G001780645 0
G001778655 0
G000993875 0
G000993015 0
G000990965 0
G000990275 0
G001786355 0
G001785545 0
G001785275 0
G001774495 0
G001825445 0
G001822655 0
G001822765 0
G000767275 14
G001508115 14
G000018945 14
G000008545 14
G000230655 14
G000237805 14
G001772335 14
G001771345 14
G000437435 14
G001007625 14
G002018045 14
G000153065 14
G001632145 14
G000757865 14
G000635715 14
G001870225 14
G000317085 14
G001870905 14
G000252485 14
G001521855 14
G001039615 14
G000317125 14
G000934435 14
G001548375 14
G000300115 14
G000380725 4
G002011535 4
G001293545 4
G001795155 4
G000406785 4
G001644275 4
G001302685 4
G001795015 4
G001796415 4
G001796675 4
G000830925 4
G000482805 4
G000599865 4
G000196275 4
G001767605 4
G000210055 4
G000156175 4
G001025035 4
G001437845 4
G000504245 4
G000519205 4
G000717335 4
G000173655 4
G000179395 4
G001412105 4
G000477955 4
G000688415 4
G001969465 4
G001570425 4
G000241345 4
G000247715 4
G001894865 4
G000719275 4
G001426485 1
G000620645 1
G000294515 1
G001696485 1
G001888885 1
G001418495 1
G001278075 1
G000225525 1
G001594145 1
G000184685 1
G000576595 1
G000768695 1
G001606005 1
G001307035 1
G000455825 1
G001429705 1
G001423045 1
G001424905 1
G001403775 1
G000024925 1
G000307245 1
G000414465 1
G000741765 1
G001042635 1
G000741785 1
G001553285 1
G001812395 1
G001512545 5
G000165465 5
G900129805 5
G000024605 5
G000711975 5
G000740805 5
G000213975 5
G900111915 5
G001513065 3
G001508895 3
G000424205 3
G000751675 3
G000017045 3
G000247605 3
G000147675 3
G900106765 3
G000312365 3
G000492175 3
G000469445 3
G000436215 3
G001486165 3
G000382085 3
G000178835 3
G001995005 3
G000173975 3
G000435575 3
G000702885 3
G000424365 3
G900101015 3
G900107575 3
G900115215 3
G000436935 3
G001312505 3
G000376225 5
