genome	top_class
G000008665.part_1_100	13
G000008665.part_1_105	13
G000008665.part_1_106	13
G000008665.part_1_107	13
G000008665.part_1_108	13
G000008665.part_1_109	13
G000008665.part_1_10	13
G000008665.part_1_113	13
G000008665.part_1_116	13
G000008665.part_1_117	13
G000008665.part_1_11	13
G000008665.part_1_121	13
G000008665.part_1_122	13
G000008665.part_1_124	13
G000008665.part_1_125	13
G000008665.part_1_126	13
G000008665.part_1_127	13
G000008665.part_1_128	13
G000008665.part_1_129	13
G000008665.part_1_12	13
G000008665.part_1_131	13
G000008665.part_1_132	13
G000008665.part_1_133	13
G000008665.part_1_135	13
G000008665.part_1_136	13
G000008665.part_1_139	13
G000008665.part_1_140	13
G000008665.part_1_141	13
G000008665.part_1_142	13
G000008665.part_1_144	13
G000008665.part_1_146	13
G000008665.part_1_147	13
G000008665.part_1_148	13
G000008665.part_1_149	13
G000008665.part_1_150	13
G000008665.part_1_151	13
G000008665.part_1_153	13
G000008665.part_1_154	13
G000008665.part_1_155	13
G000008665.part_1_157	13
G000008665.part_1_158	13
G000008665.part_1_159	13
G000008665.part_1_15	13
G000008665.part_1_160	13
G000008665.part_1_161	13
G000008665.part_1_163	13
G000008665.part_1_164	13
G000008665.part_1_165	13
G000008665.part_1_167	13
G000008665.part_1_169	13
G000008665.part_1_16	13
G000008665.part_1_171	13
G000008665.part_1_173	13
G000008665.part_1_174	13
G000008665.part_1_176	13
G000008665.part_1_177	13
G000008665.part_1_178	13
G000008665.part_1_17	13
G000008665.part_1_180	13
G000008665.part_1_181	13
G000008665.part_1_182	13
G000008665.part_1_183	13
G000008665.part_1_184	13
G000008665.part_1_185	13
G000008665.part_1_188	13
G000008665.part_1_189	13
G000008665.part_1_18	13
G000008665.part_1_190	13
G000008665.part_1_191	13
G000008665.part_1_192	13
G000008665.part_1_193	13
G000008665.part_1_194	13
G000008665.part_1_196	13
G000008665.part_1_197	13
G000008665.part_1_199	13
G000008665.part_1_19	13
G000008665.part_1_1	13
G000008665.part_1_200	13
G000008665.part_1_202	13
G000008665.part_1_204	13
G000008665.part_1_205	13
G000008665.part_1_206	13
G000008665.part_1_207	13
G000008665.part_1_208	13
G000008665.part_1_209	13
G000008665.part_1_20	13
G000008665.part_1_212	13
G000008665.part_1_213	13
G000008665.part_1_214	13
G000008665.part_1_215	13
G000008665.part_1_220	13
G000008665.part_1_221	13
G000008665.part_1_222	13
G000008665.part_1_223	13
G000008665.part_1_224	13
G000008665.part_1_225	13
G000008665.part_1_226	13
G000008665.part_1_22	13
G000008665.part_1_233	13
G000008665.part_1_234	13
G000008665.part_1_237	13
G000008665.part_1_238	13
G000008665.part_1_239	13
G000008665.part_1_23	13
G000008665.part_1_242	13
G000008665.part_1_245	13
G000008665.part_1_247	13
G000008665.part_1_249	13
G000008665.part_1_25	13
G000008665.part_1_26	13
G000008665.part_1_28	13
G000008665.part_1_29	13
G000008665.part_1_2	13
G000008665.part_1_30	13
G000008665.part_1_32	13
G000008665.part_1_33	13
G000008665.part_1_34	13
G000008665.part_1_35	13
G000008665.part_1_36	13
G000008665.part_1_38	13
G000008665.part_1_39	13
G000008665.part_1_3	13
G000008665.part_1_40	13
G000008665.part_1_41	13
G000008665.part_1_44	13
G000008665.part_1_45	13
G000008665.part_1_46	13
G000008665.part_1_47	13
G000008665.part_1_48	13
G000008665.part_1_4	13
G000008665.part_1_53	13
G000008665.part_1_54	13
G000008665.part_1_57	13
G000008665.part_1_58	13
G000008665.part_1_59	13
G000008665.part_1_60	13
G000008665.part_1_61	13
G000008665.part_1_62	13
G000008665.part_1_63	13
G000008665.part_1_67	13
G000008665.part_1_69	13
G000008665.part_1_71	13
G000008665.part_1_72	13
G000008665.part_1_73	13
G000008665.part_1_74	13
G000008665.part_1_75	13
G000008665.part_1_76	13
G000008665.part_1_79	13
G000008665.part_1_80	13
G000008665.part_1_81	13
G000008665.part_1_82	13
G000008665.part_1_83	13
G000008665.part_1_84	13
G000008665.part_1_86	13
G000008665.part_1_87	13
G000008665.part_1_89	13
G000008665.part_1_8	13
G000008665.part_1_90	13
G000008665.part_1_92	13
G000008665.part_1_94	13
G000008665.part_1_95	13
G000008665.part_1_97	13
G000008665.part_1_99	13
G000008665.part_1_9	13
G000017265.part_1_100	7
G000017265.part_1_105	7
G000017265.part_1_106	7
G000017265.part_1_107	7
G000017265.part_1_108	7
G000017265.part_1_109	7
G000017265.part_1_10	7
G000017265.part_1_113	7
G000017265.part_1_116	7
G000017265.part_1_117	7
G000017265.part_1_11	7
G000017265.part_1_121	7
G000017265.part_1_122	7
G000017265.part_1_124	7
G000017265.part_1_125	7
G000017265.part_1_126	7
G000017265.part_1_127	7
G000017265.part_1_128	7
G000017265.part_1_129	7
G000017265.part_1_12	7
G000017265.part_1_131	7
G000017265.part_1_132	7
G000017265.part_1_133	7
G000017265.part_1_135	7
G000017265.part_1_136	7
G000017265.part_1_139	7
G000017265.part_1_140	7
G000017265.part_1_141	7
G000017265.part_1_142	7
G000017265.part_1_144	7
G000017265.part_1_146	7
G000017265.part_1_147	7
G000017265.part_1_148	7
G000017265.part_1_149	7
G000017265.part_1_150	7
G000017265.part_1_151	7
G000017265.part_1_153	7
G000017265.part_1_154	7
G000017265.part_1_155	7
G000017265.part_1_157	7
G000017265.part_1_158	7
G000017265.part_1_159	7
G000017265.part_1_15	7
G000017265.part_1_160	7
G000017265.part_1_161	7
G000017265.part_1_163	7
G000017265.part_1_164	7
G000017265.part_1_165	7
G000017265.part_1_167	7
G000017265.part_1_169	7
G000017265.part_1_16	7
G000017265.part_1_171	7
G000017265.part_1_173	7
G000017265.part_1_174	7
G000017265.part_1_176	7
G000017265.part_1_177	7
G000017265.part_1_178	7
G000017265.part_1_17	7
G000017265.part_1_180	7
G000017265.part_1_181	7
G000017265.part_1_182	7
G000017265.part_1_183	7
G000017265.part_1_184	7
G000017265.part_1_185	7
G000017265.part_1_188	7
G000017265.part_1_189	7
G000017265.part_1_18	7
G000017265.part_1_190	7
G000017265.part_1_191	7
G000017265.part_1_192	7
G000017265.part_1_193	7
G000017265.part_1_194	7
G000017265.part_1_196	7
G000017265.part_1_197	7
G000017265.part_1_199	7
G000017265.part_1_19	7
G000017265.part_1_1	7
G000017265.part_1_200	7
G000017265.part_1_202	7
G000017265.part_1_204	7
G000017265.part_1_205	7
G000017265.part_1_206	7
G000017265.part_1_207	7
G000017265.part_1_208	7
G000017265.part_1_209	7
G000017265.part_1_20	7
G000017265.part_1_212	7
G000017265.part_1_213	7
G000017265.part_1_214	7
G000017265.part_1_215	7
G000017265.part_1_220	7
G000017265.part_1_221	7
G000017265.part_1_222	7
G000017265.part_1_223	7
G000017265.part_1_224	7
G000017265.part_1_225	7
G000017265.part_1_226	7
G000017265.part_1_22	7
G000017265.part_1_233	7
G000017265.part_1_234	7
G000017265.part_1_237	7
G000017265.part_1_238	7
G000017265.part_1_239	7
G000017265.part_1_23	7
G000017265.part_1_242	7
G000017265.part_1_245	7
G000017265.part_1_247	7
G000017265.part_1_249	7
G000017265.part_1_251	7
G000017265.part_1_252	7
G000017265.part_1_254	7
G000017265.part_1_255	7
G000017265.part_1_256	7
G000017265.part_1_257	7
G000017265.part_1_258	7
G000017265.part_1_259	7
G000017265.part_1_25	7
G000017265.part_1_261	7
G000017265.part_1_262	7
G000017265.part_1_263	7
