genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G001915265	4	4.0	1.0	2.4660888413867086e-23	8.003616800147722e-18	9.14319293749138e-36	3.064604709926037e-23	1.0	9.409291964353997e-18	2.262780676854937e-20	3.0853558386146522e-15	1.7771024929391643e-10	1.0361738458355627e-13	9.435684452199257e-16	6.459628662318878e-19	4.090812266460771e-25	6.97311577686196e-23	3.2814955613913455e-11
G000347015	14	14.0	1.0	1.0421212199782474e-18	7.304141223919124e-30	9.261016456759836e-32	1.7034317260696495e-25	1.2031074468354415e-19	3.6247519731168234e-20	1.731057430731653e-08	1.7360150566874716e-33	4.672933111800286e-21	1.4608536490586218e-41	4.099259126588706e-12	5.001987157804422e-10	4.963327859034992e-17	1.0491699154910261e-17	1.0
G000024285	5	5.0	1.0	7.46555798409286e-14	1.2057778379348426e-25	1.044979635762019e-25	5.446713561258047e-20	1.0518064891273937e-10	1.0	2.21627811775423e-16	6.0311305968502036e-18	2.7658597799711236e-33	3.4450222275239444e-16	1.998036758266153e-08	3.417009036832397e-11	2.8069995938623467e-22	6.3325411499941135e-18	2.178797703931615e-17
G000444875	1	1.0	1.0	2.8793600585253476e-40	1.0	6.42140311227965e-33	5.894288053148149e-36	1.5630407682079495e-21	3.757660510508488e-20	7.595037676640509e-43	5.36688543848149e-31	0.0	6.859280145251562e-29	1.0821135911681065e-27	2.441492723814949e-28	3.279038406520072e-43	1.787917652304602e-36	1.7072465364300287e-37
G900116665	6	6.0	1.0	6.494144814924945e-34	3.602878481625537e-41	2.640723961488077e-32	9.259885631194345e-32	1.5098317454673448e-31	8.007895985492297e-32	1.0	7.974182798237481e-39	1.6298616784516636e-37	3.561539646003993e-34	1.982215199992179e-31	3.6790891945858296e-16	6.851934407702426e-28	5.137219024750281e-39	1.5485112460218301e-30
G001793575	12	12.0	1.0	7.848968002861857e-24	2.230479413164377e-28	3.2194597696551683e-35	2.2038063523257328e-26	7.425916755472831e-19	2.6452055562700785e-28	4.8156448256419125e-28	9.398309678629468e-34	9.948158181486132e-35	2.7375130049027437e-37	5.2496444988878456e-24	7.470159757187895e-25	1.0	8.555635210673204e-32	7.543367775220066e-21
G000999305	12	12.0	1.0	3.1387080976809367e-13	2.7397827781367366e-20	4.955118941188602e-24	2.416998350594779e-15	1.4918391500438888e-14	2.7781004255951567e-21	5.421801647093123e-18	3.2105233684007756e-25	7.774486400452643e-20	2.14651591456676e-25	3.8576404576143655e-15	1.354876322245957e-09	1.0	5.045182674603034e-17	3.947034105805658e-12
G001295265	6	6.0	1.0	5.054492172377583e-30	2.8650392366354566e-37	5.0691839709719e-31	8.532921956178311e-31	7.261665892238602e-29	1.6420446205777761e-28	1.0	8.885600001432073e-32	6.11750885309805e-27	4.267984282707794e-37	7.331536897284021e-27	7.415352511717932e-13	1.1604740954083844e-26	3.279531893168255e-33	4.9639993093263e-21
G000012645	14	14.0	1.0	5.741025956750014e-24	2.7048521882785944e-25	3.736770683615153e-23	1.0129251356949783e-26	1.6304622929563806e-10	6.721329222358907e-13	6.558328369996588e-18	1.349501891290616e-16	3.9049129428841544e-16	1.8975617951944024e-11	6.442570001791159e-13	2.425175511799882e-12	1.3201022497355552e-09	1.4737790523557115e-13	1.0
G001316435	3	3.0	1.0	6.899309684328927e-26	6.2684419098789e-33	6.156971532275419e-15	1.0	3.1410076904887785e-13	3.238386625525891e-08	1.0158701262509942e-18	5.833810384038435e-18	1.4843900990235153e-23	1.1570486603105994e-18	1.9652990579334048e-14	2.3069418350987227e-14	1.6677240168819392e-14	6.929420687425136e-14	9.827213709456828e-09
G001456215	2	2.0	1.0	1.034158266671715e-42	5.59118087265602e-43	1.0	3.407401094742574e-27	4.5547260806412095e-25	4.916427512396623e-16	5.484364531821053e-36	1.0755218648218478e-25	5.073935700170046e-19	1.2605546825854887e-23	3.7015068718617936e-35	9.35203000194067e-27	1.2409430982523137e-34	4.25481053219943e-25	3.1882595781904523e-34
