genome	top_class
G000006865	0
G000006925	0
G000007385	0
G000007705	0
G000007845	0
G000008545	0
G000008665	0
G000010585	0
G000011185	0
G000011645	0
G000012485	0
G000012725	0
G000012965	0
G000013125	0
G000014465	0
G000014505	0
G000014765	0
G000017045	0
G000017265	0
G000018785	0
G000018945	0
G000020785	0
G000021025	0
G000023065	0
G000024605	0
G000024925	0
G000026125	0
G000092565	0
G000093025	0
G000145255	0
G000147675	0
G000153065	0
G000153405	0
G000156175	0
G000161935	0
G000163775	0
G000165465	0
G000168295	0
G000172095	0
G000173655	0
G000173975	0
G000177235	0
G000178835	0
G000179395	0
G000179775	0
G000184685	0
G000186205	0
G000188155	0
G000191145	0
G000192925	0
G000192965	0
G000195275	0
G000196275	0
G000204255	0
G000210055	0
G000213975	0
G000214595	0
G000218895	0
G000219045	0
G000219275	0
G000220235	0
G000220545	0
G000220585	0
G000224335	0
G000224765	0
G000225525	0
G000226625	0
G000228205	0
G000229145	0
G000230555	0
G000230655	0
G000231275	0
G000235885	0
G000237805	0
G000241345	0
G000242835	0
G000245075	0
G000245175	0
G000245655	0
G000247605	0
G000247715	0
G000248095	0
G000252485	0
G000282595	0
G000283915	0
G000286115	0
G000292245	0
G000294515	0
G000297775	0
G000298475	0
G000300115	0
G000300695	0
G000300855	0
G000307245	0
G000309585	0
G000312365	0
G000312545	0
G000317085	0
G000317125	0
G000318295	0
G000319245	0
G000319385	0
G000334955	0
G000336655	0
G000336915	0
G000337475	0
G000337675	0
G000338775	0
G000344805	0
G000348805	0
G000376225	0
G000376445	0
G000377645	0
G000377885	0
G000379225	0
G000379665	0
G000380725	0
G000382085	0
G000382125	0
G000382245	0
G000382265	0
G000384955	0
G000398025	0
G000401175	0
G000404225	0
G000405625	0
G000405945	0
G000406785	0
G000407165	0
G000414465	0
G000416085	0
G000417585	0
G000422425	0
G000423405	0
G000423645	0
G000424205	0
G000424365	0
G000425585	0
G000426565	0
G000428145	0
G000428865	0
G000429045	0
G000429305	0
G000429865	0
G000430525	0
G000430585	0
G000430745	0
G000433035	0
G000435575	0
G000436215	0
G000436435	0
G000436935	0
G000437335	0
G000437435	0
G000444565	0
G000444645	0
G000445105	0
G000445145	0
G000450985	0
G000455825	0
G000469445	0
G000471965	0
G000477955	0
G000482805	0
G000484595	0
G000487995	0
G000492175	0
G000497755	0
G000501615	0
G000504165	0
G000504245	0
G000506865	0
G000508965	0
G000511875	0
G000513735	0
G000518105	0
G000519205	0
G000525955	0
G000526315	0
G000576595	0
G000591415	0
G000599865	0
G000620645	0
G000635715	0
G000648175	0
G000684975	0
G000686845	0
G000688415	0
G000689195	0
G000691865	0
G000695975	0
G000697965	0
G000701305	0
G000702885	0
G000711975	0
G000712035	0
G000714715	0
G000717335	0
G000717475	0
G000719275	0
G000722915	0
G000724145	0
G000733515	0
G000733585	0
G000733775	0
G000738435	0
G000740805	0
G000741765	0
G000741785	0
G000744255	0
G000744875	0
G000745125	0
G000745975	0
G000751675	0
G000757865	0
G000759655	0
G000762875	0
G000767275	0
G000768065	0
G000768695	0
G000768875	0
G000786005	0
G000797445	0
G000817295	0
G000829435	0
G000830925	0
G000830985	0
G000832305	0
G000934435	0
G000967305	0
G000969905	0
G000970025	0
G000970125	0
G000970775	0
G000979995	0
G000980755	0
G000981645	0
G000989435	0
G000990055	0
G000990125	0
G000990275	0
G000990725	0
G000990965	0
G000991295	0
G000992925	0
G000993015	0
G000993365	0
G000993875	0
G000996165	0
G000997505	0
G000998105	0
G000998865	0
G000998935	0
G001000025	0
G001000475	0
G001000675	0
G001001285	0
G001005215	0
G001007625	0
G001012675	0
G001025035	0
G001039615	0
G001042525	0
G001042635	0
G001044505	0
G001049895	0
G001074355	0
G001182045	0
G001183545	0
G001187595	0
G001190755	0
G001192655	0
G001263205	0
G001278075	0
G001278705	0
G001280505	0
G001280515	0
G001282785	0
G001292625	0
G001293545	0
G001298265	0
G001302685	0
G001305655	0
G001307035	0
G001308105	0
G001312505	0
G001313205	0
G001315985	0
G001316245	0
G001403775	0
G001412105	0
G001418495	0
G001420915	0
G001421015	0
G001422605	0
G001423045	0
G001424305	0
G001424585	0
G001424905	0
G001426485	0
G001427385	0
G001429705	0
